"TF1"	"TF2"	"p-value"	"fdr"	"number of intersections"	"Genes"
"LUX_ZT12_1"	"CCA1"	"0"	NA	"22"	"AT3G41761,AT3G41979,AT5G31804,AT5G31804,AT5G31821,AT5G31821,AT5G31821,AT5G34376"
"PHYA"	"CCA1"	"0"	NA	"94"	"AT1G14580,AT1G37140,AT3G22400,AT3G23810,AT4G00720,AT4G06710,AT4G06710,AT5G17310,AT5G31787,AT5G44180"
"PHYB"	"CCA1"	"0"	NA	"39"	"AT1G37120,AT2G07722,AT2G08986,AT3G33055,AT3G33058,AT3G41761,AT3G43440,AT5G31804,AT5G34376,AT5G60840"
"PIF3"	"CCA1"	"0"	NA	"7"	""
"PIF4"	"CCA1"	"0"	NA	"76"	"AT1G25550,AT1G72150,AT2G22430,AT5G60840"
"PIF5"	"CCA1"	"0"	NA	"35"	"AT5G60840"
"PRR5_1"	"CCA1"	"0"	NA	"192"	"AT1G13250,AT1G13260,AT1G25425,AT1G76250,AT3G22400,AT3G23810,AT3G28860,AT3G29575,AT3G50700,AT4G19170,AT5G10020,AT5G17310,AT5G28765,AT5G57660,AT5G60840,AT5G61470"
"PRR7"	"CCA1"	"0"	NA	"24"	"AT3G33058,AT3G41979,AT4G06700"
"PRR9_1"	"CCA1"	"0"	NA	"10"	"AT2G09800,AT3G33055,AT5G31821"
"TOC1_1"	"CCA1"	"0"	NA	"26"	"AT2G08986,AT3G33055,AT3G33058,AT5G31804,AT5G31804,AT5G31804,AT5G31804,AT5G60840,AT5G61380"
