names	x.pos	y.pos	peak.zt	trough.zt	CCA1	LHY	TOC1	PRR5	PRR7	PRR9	PHYA	PHYB	CRY2	FHY1	LUX	PIF3	PIF4	PIF5	ELF4	ELF3	indegree	outdegree	transitivity	closeness	betweeness	eccentricity
AT2G26200	-3798.75122070312	4079.09899180651	peak8	trough0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT2G26250	-3145.13403320312	1594.31127207994	peak0	trough8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT2G26300	-3600.61279296875	1758.94042247057	peak0	trough4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0.00017307026652821	0	4
AT2G44525	-3539.203125	1754.41991465807	peak0	trough4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G44420	-3997.43994140625	2560.95543711901	peak16	trough4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT2G44310	-3750.11254882812	3595.32604258776	peak12	trough0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G40080	-3273.24926757812	3022.2158203125	peak12	trough0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	89	0.0652014652014652	0.39128962340829	1.4850160800083e-06	3
AT2G39970	-3564.47119140625	1705.77025645494	peak0	trough8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT2G39920	-3685.18823242188	4064.36852305651	peak8	trough0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G40020	-3118.14868164062	1649.67552989244	peak0	trough12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G39890	-2718.54736328125	1850.76464122057	peak0	trough16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT2G40000	-3081.49487304688	1787.76512950182	peak0	trough12	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	8	0	0.892857142857143	0.00017307026652821	0	3
AT2G39930	-3111.70385742188	4399.74987071276	peak8	trough0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	5	0	1	0.00017307026652821	0	3
AT2G40070	-3683.796875	4145.78551524401	peak8	trough0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G40010	-3492.68359375	4094.50914805651	peak8	trough20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G39940	-3134.43994140625	1228.60192149401	peak0	trough8	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0.00017307026652821	0	3
AT2G39980	-2119.35107421875	2900.77062266588	peak4	trough16	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0.00017307026652821	0	3
AT2G34660	-3770.73901367188	1146.11595957994	peak20	trough8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G34770	-3475.8525390625	1704.84813731432	peak0	trough12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G34710	-3210.51879882812	1412.71239512682	peak0	trough8	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	5	0	1	0.00017307026652821	0	3
AT2G30060	-3286.7314453125	4029.01207774401	peak8	trough0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G30070	-3918.35546875	2099.15123790026	peak16	trough4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0.00017307026652821	0	4
AT2G30150	-3391.74609375	1150.35472911119	peak0	trough8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G23670	-2883.83569335938	3788.79918711901	peak4	trough16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G23810	-3605.06005859375	1721.94176524401	peak0	trough8	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	5	0	1	0.00017307026652821	0	3
AT2G23680	-4017.13110351562	2682.03087657213	peak12	trough4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT2G19400	-2722.53491210938	2331.92809336901	peak0	trough16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G19450	-4090.93017578125	3594.06383555651	peak8	trough4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT2G02570	-3985.6689453125	3909.72740977526	peak8	trough0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0.00017307026652821	0	3
AT2G23150	-2556.98291015625	3169.20641368151	peak4	trough16	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0.00017307026652821	0	3
AT2G22980	-2776.95190429688	4710.84410899401	peak8	trough16	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0.00017307026652821	0	3
AT2G22990	-2464.5654296875	1835.29882090807	peak0	trough12	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	4	0	1	0.00017307026652821	0	3
AT2G23130	-3134.27416992188	1569.06945079088	peak0	trough12	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0.00017307026652821	0	3
AT2G23070	-3199.1201171875	1745.62828868151	peak0	trough12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G44130	-3076.61962890625	1677.72802012682	peak0	trough12	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0.00017307026652821	0	3
AT2G44100	-4030.369140625	3758.27233165026	peak16	trough0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G43900	-3436.45874023438	1572.81993907213	peak0	trough8	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	3	0	1	0.00017307026652821	0	4
AT2G44080	-2624.82373046875	1449.05187266588	peak0	trough12	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	5	0	0.8	0.00017307026652821	0	3
AT2G02590	-3426.69848632812	3869.03722422838	peak12	trough0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G30930	-3646.05126953125	1708.68297618151	peak16	trough4	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	1	0.00017307026652821	0	4
AT2G30980	-3534.33349609375	1860.95262950182	peak0	trough4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT2G30990	-4434.3466796875	3994.92760508776	peak8	trough0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	4	0	0.666666666666667	0.00017307026652821	0	3
