names	x.pos	y.pos	cluster.classification
AT2G37540	-3888.57568359375	2630.2874683690065	peak12
AT2G37710	-3314.6708984375	3853.9927906346315	peak12
AT2G37650	-4067.662109375	1662.2115406346315	peak0
AT2G30870	-4037.0087890625	3426.9622730565065	peak16
AT2G30860	-3642.655029296875	3903.1761402440065	peak12
AT2G31040	-3773.118896484375	3778.9930347752565	peak12
AT2G23470	-3257.015380859375	4046.6033863377565	peak8
AT2G38160	-3312.724609375	4237.363640244006	peak8
AT2G38290	-4117.59521484375	2517.6868824315065	peak16
AT2G38090	-4047.28076171875	2171.9854664158815	peak16
AT2G23460	-3725.50927734375	1724.1636890721315	peak0
AT2G23420	-3076.736328125	1450.670647079944	peak0
AT2G23380	-3266.7802734375	1825.225578720569	peak0
AT2G23620	-3040.429931640625	1350.605705673694	peak20
AT2G32560	-3233.361328125	1479.576164658069	peak0
AT2G41430	-4210.56005859375	3119.3934254002565	peak16
AT2G41490	-3698.971923828125	2041.7723316502565	peak0
AT2G38170	-3458.87255859375	1571.267082626819	peak0
AT2G38120	-3182.733154296875	1625.983635361194	peak0
AT2G38270	-3993.866943359375	3563.7620777440065	peak16
AT2G41180	-3619.22412109375	3600.7352222752565	peak12
AT2G41100	-3853.026123046875	1743.500725204944	peak16
AT2G41190	-3079.0341796875	3888.4197925877565	peak12
AT2G40960	-2475.037109375	2396.8099293065065	peak0
AT2G40970	-2572.70166015625	2309.0228199315065	peak0
AT2G41090	-3552.212890625	3750.5176929783815	peak12
AT2G41070	-3674.737060546875	1768.064690048694	peak0
AT2G41010	-3130.730712890625	1513.027336533069	peak0
AT2G41080	-4003.09814453125	3233.1104664158815	peak12
AT2G41110	-4626.701171875	1374.6075367283815	peak16
AT2G41120	-2642.3427734375	1814.087150986194	peak0
AT2G32480	-3814.714111328125	3401.8611988377565	peak12
AT2G38360	-3181.092529296875	3844.5643238377565	peak12
AT2G34200	-3650.2001953125	4016.5599293065065	peak8
AT2G34357	-3065.886474609375	3994.0926441502565	peak4
AT2G38480	-2757.284423828125	1938.1177906346315	peak0
AT2G38320	-3268.368408203125	1816.162834579944	peak0
AT2G38465	-3959.3427734375	3899.8792652440065	peak8
AT2G38310	-3427.7705078125	1618.8494800877565	peak0
AT2G38460	-2778.8798828125	4627.036003525256	peak8
AT2G34250	-3560.715576171875	3319.0159839940065	peak12
AT2G39300	-3878.2236328125	1570.915520126819	peak20
AT2G39340	-3415.70068359375	1380.2364429783815	peak20
AT2G39220	-3079.322998046875	3783.6224293065065	peak12
AT2G39230	-2737.5263671875	4035.1258472752565	peak4
AT2G39250	-2210.77392578125	2463.0494312596315	peak0
AT2G34480	-3097.86865234375	4034.1986011815065	peak4
AT2G34190	-3971.40869140625	3780.3585132908815	peak12
