peak	through	p-value	fdr	enrichment	Intersection Genes
ZT20	ZT4	0.91565162285349	1	0.751371516348475	AT1G17090,AT1G28580,AT1G61380,AT2G04160,AT2G25930,AT3G02990,AT3G07650,AT3G14100,AT3G15630,AT3G25070,AT4G32060,AT5G04310,AT5G55530,AT5G60270,AT5G61440,AT5G65110
ZT20	ZT8	0.999372786005343	1	0.411736411736412	AT1G51070,AT2G30530,AT2G47010,AT3G04670,AT3G06510,AT3G09690,AT5G04140,AT5G66190
ZT4	ZT0	0.896209661576464	1	0.764285714285714	AT1G54130,AT2G29970,AT2G31390,AT2G44940,AT3G05630,AT3G13310,AT3G15350,AT3G19840,AT3G23400,AT4G15490,AT4G30530,AT5G28300,AT5G53120,AT5G59540,AT5G65780
ZT4	ZT12	0.99188754845627	1	0.554926921263555	AT1G21640,AT1G48840,AT2G42190,AT2G46710,AT3G07360,AT3G13690,AT3G15540,AT3G17800,AT3G22104,AT4G15560,AT4G32190
ZT4	ZT16	0.640046904534886	1	0.955357142857143	AT1G03600,AT1G59740,AT1G73390,AT1G73480,AT2G01890,AT2G29670,AT2G30570,AT2G35060,AT2G41870,AT2G45600,AT2G46680,AT2G47180,AT3G08940,AT3G10420,AT3G11670,AT3G11900,AT3G15810,AT3G22840,AT3G24840,AT3G27540,AT3G27690,AT4G32020,AT5G04200,AT5G54270,AT5G54470,AT5G56180,AT5G57040,AT5G57180,AT5G57610,AT5G62170,AT5G62280,AT5G64170,AT5G67030
ZT4	ZT20	0.998117269172779	1	0.495996628739992	AT1G30690,AT1G49450,AT1G54100,AT2G43010,AT2G46660,AT3G13640,AT3G20300,AT3G23580,AT4G30960,AT5G63130,AT5G65890
ZT4	ZT8	0.921627371485069	1	0.497096399535424	AT3G24190,AT5G59430
ZT8	ZT0	0.988108846067878	1	0.783882783882784	AT1G10760,AT1G11210,AT1G21670,AT1G21730,AT1G25320,AT1G78600,AT1G79460,AT2G17840,AT2G18170,AT2G18350,AT2G22840,AT2G25250,AT2G30990,AT2G34640,AT2G38670,AT2G39930,AT2G44490,AT2G45590,AT2G45660,AT2G46060,AT2G46170,AT2G46620,AT3G01310,AT3G05130,AT3G05640,AT3G06500,AT3G08760,AT3G09000,AT3G10300,AT3G11850,AT3G12930,AT3G17020,AT3G17830,AT3G18080,AT3G19590,AT3G22200,AT3G22370,AT3G26580,AT3G26750,AT3G27210,AT4G14230,AT4G14270,AT4G16146,AT4G16740,AT4G30660,AT4G31550,AT4G32340,AT5G11060,AT5G49760,AT5G51840,AT5G52310,AT5G54500,AT5G56630,AT5G57410,AT5G57630,AT5G62350,AT5G62360,AT5G64860,AT5G65310,AT5G66880
ZT8	ZT12	0.844643411811302	1	0.566137566137566	AT2G30600
ZT8	ZT16	0.590338376386178	1	0.970521541950113	AT1G60800,AT1G61520,AT1G66890,AT2G20515,AT2G39710,AT5G08330,AT5G58070,AT5G63800
ZT8	ZT20	0.999972701520128	1	0.374649859943978	AT1G12990,AT1G51170,AT1G56600,AT2G20980,AT2G27840,AT3G05660,AT3G27330,AT5G55180,AT5G58960,AT5G67560
ZT8	ZT4	0.21947866257169	1	1.30343300110742	AT1G21680,AT1G59870,AT2G16365,AT2G21660,AT2G38465,AT3G05220,AT3G05800,AT3G05880,AT5G10695,AT5G61530,AT5G63810
