"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"G.box"	5.21938442926259e-06	0.000380199648483723	2.72486684420772
"BZR2"	0.000108703188195346	0.00409448675535803	3.80331753554502
"BZR1_1"	0.00012202364488962	0.00424266826846985	4.23193359375
"FHY3"	0.000475489056080144	0.0134325658342641	7.33993902439024
"ABI5"	4.85246308402989e-06	0.000380199648483723	3.47116374871267
"ABF2"	4.01704984225959e-07	0.000181570652870133	4.23962264150943
"BEE2"	6.72919731829598e-06	0.000380199648483723	2.67850130890052
"BHLH34"	0.00174334156691894	0.0463523757792564	2.96815068493151
"BIM1"	2.59380842961733e-05	0.00106581946380639	2.29285714285714
"BIM2"	5.06686062712626e-06	0.000380199648483723	2.73032021347565
"BIM3"	3.18619751604201e-06	0.000380199648483723	2.81675843083276
"bZIP68_2"	1.75738189077926e-05	0.000794336614632224	2.35132935431362
"HY5"	0.000215242650508128	0.00648597853531159	6.56590909090909
"PIF4"	6.07455950325105e-06	0.000380199648483723	3.40798786653185
"MYC3"	2.21210658566467e-06	0.000380199648483723	2.88628349788434
"MYC4"	0.000140825226310812	0.00454664302089192	3.3311320754717
"UNE10"	1.19781775429592e-05	0.000601570694379728	2.9746705107084
