"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"EE"	3.87634634111011e-06	0.00175210854618177	8.76403033586132
"BZR1_1"	0.000469391156346291	0.0303092575240748	5.20853365384615
"BIM1"	0.000172769087861446	0.0130152712855622	2.58681318681319
"CCA1"	3.28654640124661e-05	0.00560541476422571	5.07956043956044
"AT3G10113"	6.59364387001526e-05	0.00631192924029624	4.62378713614084
"EPR1"	3.72040802935335e-05	0.00560541476422571	6.23493140126407
"RVE1"	6.98222261094717e-05	0.00631192924029624	4.58799007444169
"LCL1"	0.000914063830864979	0.0459063168389967	4.60581905141491
"GBF6"	0.00056897099576411	0.0321468612606722	17.5445344129555
