"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"G.box"	5.77462312602517e-05	0.00372875664709054	3.02254137340689
"BZR1_1"	0.00076041278217657	0.0202180339731653	4.83649553571428
"FHY3"	0.000501359674231536	0.0170811370718575	10.0662020905923
"ABI5"	9.2295086541125e-05	0.00421092739181694	3.82536413123437
"ABF2"	0.000172867470172228	0.00710328150162244	4.15309973045822
"BEE2"	6.86668774473697e-05	0.00387967857577639	2.97111069558713
"BHLH34"	9.31621104384279e-05	0.00421092739181694	4.52289628180039
"BIM1"	0.000566851893977571	0.0170811370718575	2.40204081632653
"BIM2"	5.6591319640583e-05	0.00372875664709054	3.02859048889736
"BIM3"	4.12759706977619e-05	0.00372875664709054	3.12447153672205
"bZIP68_2"	0.000443134520513457	0.0166914002726736	2.46329741880474
"bHLH31"	0.00238221184052441	0.0489436250871378	10.7664596273292
"HY5"	0.00151462358198281	0.0352854753781275	7.5038961038961
"PIF1"	2.10005474832465e-05	0.0031640824874758	6.94471153846154
"PIF3"	0.00156130422027113	0.0352854753781275	4.22574353973671
"PIF4"	1.06588102071238e-05	0.00240889110680998	4.17304636718186
"PIF5"	7.76666475625532e-06	0.00240889110680998	4.31709503885236
"MYC3"	3.2220152045834e-05	0.00364087718117924	3.20159177916583
"GATA9"	0.000629709985565695	0.0177893070922309	3.01007177587404
"SPT"	0.00233609963753364	0.0489436250871378	3.29418472063854
"UNE10"	0.000553762048183886	0.0170811370718575	3.05966109672864
