peak	through	p-value	fdr	enrichment	Intersection Genes
ZT16	Any	0.940239467979675	1	0.723878727136056	AT1G05710,AT1G18210,AT1G27770,AT1G30640,AT1G32920,AT1G75800,AT2G40140,AT2G41430,AT3G28180,AT3G49530,AT4G13340,AT4G31390,AT4G33300,AT4G33430,AT4G36920,AT5G53450
ZT16	ZT0	0.841290944319378	1	0.617307692307692	AT1G27770,AT5G53450
ZT16	ZT12	0.462036876699666	1	1.29203935599284	AT3G28180,AT4G13340
ZT16	ZT16	1	1	0	
ZT16	ZT20	1	1	0	
ZT16	ZT4	0.802551279212391	1	0.807524597495528	AT1G18210,AT1G30640,AT1G32920,AT1G75800,AT2G40140,AT2G41430,AT3G49530,AT4G33300,AT4G33430,AT4G36920
ZT16	ZT8	0.96008798864737	1	0.408512443438914	AT1G05710,AT4G31390
ZT20	Any	0.59462281616694	1	0.966781188648938	AT1G04400,AT1G33060,AT1G56220,AT2G25930,AT2G47010,AT3G02990,AT3G07650,AT3G14100,AT3G15630,AT3G48360,AT3G49590,AT3G60130,AT4G24240,AT5G11260,AT5G37260
ZT20	ZT0	1	1	0	
ZT20	ZT12	0.974301220466203	1	0.280594405594406	AT3G49590
ZT20	ZT16	1	1	0	
ZT20	ZT20	1	1	0	
ZT20	ZT4	0.0350456015233205	0.286205745773784	1.85192307692308	AT1G04400,AT1G56220,AT2G25930,AT3G02990,AT3G07650,AT3G14100,AT3G15630,AT3G48360,AT3G60130,AT4G24240,AT5G37260
ZT20	ZT8	0.936150003843123	1	0.514423076923077	AT1G33060,AT2G47010,AT5G11260
ZT4	Any	0.94449548516699	1	0.759706850818622	AT1G07180,AT1G18330,AT1G18740,AT1G30690,AT1G54130,AT1G60190,AT1G73480,AT2G43010,AT2G46680,AT3G07360,AT3G11670,AT3G15350,AT3G45780,AT3G47470,AT3G54810,AT3G59060,AT4G32020,AT5G09810,AT5G11700,AT5G54470,AT5G59430,AT5G63130,AT5G64170
ZT4	ZT0	0.951386709355433	1	0.484514758497317	AT1G54130,AT3G15350,AT5G09810
ZT4	ZT12	0.771023210292007	1	0.784713168187744	AT1G07180,AT1G18740,AT3G07360,AT3G45780,AT5G11700
ZT4	ZT16	0.683083207391315	1	0.898991784914115	AT1G18330,AT1G60190,AT1G73480,AT2G46680,AT3G11670,AT3G47470,AT3G59060,AT4G32020,AT5G54470,AT5G64170
ZT4	ZT20	0.782414100145825	1	0.755886970172684	AT1G30690,AT2G43010,AT3G54810,AT5G63130
ZT4	ZT4	1	1	0	
ZT4	ZT8	0.733915262122467	1	0.771634615384615	AT5G59430
ZT8	Any	0.945806906779174	1	0.775624453106356	AT1G09350,AT1G09530,AT1G12990,AT1G20696,AT1G22770,AT1G59870,AT2G16365,AT2G17840,AT2G25250,AT2G36410,AT2G42790,AT3G06500,AT3G18080,AT3G19590,AT3G57870,AT4G25480,AT4G36010,AT5G02810,AT5G05410,AT5G11740,AT5G24470,AT5G35735,AT5G48250,AT5G58070,AT5G63810,AT5G66880,AT5G67560
ZT8	ZT0	0.997481098694065	1	0.520853365384615	AT1G20696,AT2G17840,AT2G25250,AT3G06500,AT3G18080,AT3G19590,AT4G36010,AT5G05410,AT5G11740,AT5G24470,AT5G35735,AT5G66880
ZT8	ZT12	1	1	0	
ZT8	ZT16	0.416609390817255	1	1.28210059171598	AT1G22770,AT4G25480,AT5G58070
ZT8	ZT20	0.602184892332478	1	0.95789124668435	AT1G09350,AT1G09530,AT1G12990,AT3G57870,AT5G02810,AT5G67560
ZT8	ZT4	0.0467369675752327	0.294036189158734	2.2831928345627	AT1G59870,AT2G16365,AT2G36410,AT2G42790,AT5G48250,AT5G63810
ZT8	ZT8	1	1	0	
