peak	through	p-value	fdr	enrichment	Intersection Genes
Any	Any	1	1	1	AT1G01060,AT1G01490,AT1G01550,AT1G01720,AT1G03090,AT1G03600,AT1G04400,AT1G04690,AT1G05000,AT1G05710,AT1G06040,AT1G06410,AT1G06570,AT1G07180,AT1G07890,AT1G08570,AT1G09070,AT1G09350,AT1G09530,AT1G09570,AT1G09940,AT1G11260,AT1G12990,AT1G13260,AT1G15100,AT1G15750,AT1G15820,AT1G17420,AT1G18210,AT1G18330,AT1G18400,AT1G18740,AT1G19000,AT1G19770,AT1G20440,AT1G20450,AT1G20650,AT1G20696,AT1G20840,AT1G21050,AT1G21380,AT1G21600,AT1G22190,AT1G22770,AT1G23490,AT1G23710,AT1G25550,AT1G25560,AT1G26790,AT1G27050,AT1G27730,AT1G27770,AT1G30110,AT1G30640,AT1G30690,AT1G32460,AT1G32640,AT1G32920,AT1G33060,AT1G35140,AT1G35510,AT1G37130,AT1G44446,AT1G49500,AT1G49730,AT1G54130,AT1G55450,AT1G56220,AT1G56600,AT1G57680,AT1G59740,AT1G59870,AT1G60190,AT1G61810,AT1G62380,AT1G64610,AT1G65590,AT1G66150,AT1G66160,AT1G66180,AT1G66880,AT1G67360,AT1G68020,AT1G68440,AT1G68670,AT1G68840,AT1G69570,AT1G69890,AT1G70090,AT1G70210,AT1G72750,AT1G72820,AT1G73480,AT1G73670,AT1G75170,AT1G75800,AT1G76160,AT1G76180,AT1G76600,AT1G76890,AT1G76990,AT1G77280,AT1G78070,AT1G78620,AT1G79440,AT2G01420,AT2G01850,AT2G03120,AT2G03340,AT2G05940,AT2G16365,AT2G17840,AT2G18090,AT2G18300,AT2G18790,AT2G20670,AT2G23320,AT2G23460,AT2G24100,AT2G24765,AT2G25250,AT2G25930,AT2G26710,AT2G27500,AT2G28890,AT2G30040,AT2G30520,AT2G30870,AT2G32150,AT2G33150,AT2G34650,AT2G35880,AT2G36410,AT2G36950,AT2G37678,AT2G39010,AT2G40000,AT2G40080,AT2G40140,AT2G41100,AT2G41110,AT2G41430,AT2G41900,AT2G42190,AT2G42790,AT2G43010,AT2G43330,AT2G43680,AT2G44490,AT2G44920,AT2G45590,AT2G45740,AT2G45880,AT2G46060,AT2G46500,AT2G46680,AT2G46710,AT2G46735,AT2G46780,AT2G46790,AT2G46800,AT2G46830,AT2G47010,AT2G47440,AT2G47940,AT2G48020,AT3G01560,AT3G02120,AT3G02990,AT3G05220,AT3G05630,AT3G06160,AT3G06500,AT3G07350,AT3G07360,AT3G07390,AT3G07650,AT3G08720,AT3G10500,AT3G10985,AT3G11670,AT3G11700,AT3G11760,AT3G11820,AT3G12320,AT3G12560,AT3G13310,AT3G13640,AT3G14100,AT3G14840,AT3G15350,AT3G15450,AT3G15630,AT3G16830,AT3G16850,AT3G17860,AT3G18080,AT3G18290,AT3G19100,AT3G19590,AT3G19680,AT3G19970,AT3G22380,AT3G23030,AT3G24550,AT3G24840,AT3G26520,AT3G26810,AT3G27380,AT3G28180,AT3G29575,AT3G30775,AT3G44610,AT3G45780,AT3G46620,AT3G46640,AT3G47160,AT3G47340,AT3G47430,AT3G47470,AT3G47610,AT3G48360,AT3G49530,AT3G49590,AT3G50740,AT3G50910,AT3G51950,AT3G52450,AT3G52710,AT3G54500,AT3G54810,AT3G54890,AT3G55430,AT3G55980,AT3G56360,AT3G57530,AT3G57630,AT3G57870,AT3G58620,AT3G59060,AT3G60130,AT3G61060,AT3G61580,AT3G62720,AT3G62980,AT3G63010,AT4G00710,AT4G00730,AT4G01026,AT4G01720,AT4G02280,AT4G04750,AT4G08950,AT4G13340,AT4G16780,AT4G17615,AT4G18710,AT4G19200,AT4G19710,AT4G23050,AT4G23060,AT4G24240,AT4G25470,AT4G25480,AT4G26090,AT4G27652,AT4G27657,AT4G27940,AT4G28240,AT4G30210,AT4G30270,AT4G30440,AT4G31390,AT4G31550,AT4G32020,AT4G32030,AT4G32300,AT4G33300,AT4G33430,AT4G33980,AT4G34050,AT4G34150,AT4G35090,AT4G35470,AT4G35750,AT4G35780,AT4G35850,AT4G36010,AT4G36380,AT4G36860,AT4G36920,AT4G37460,AT4G38430,AT4G38470,AT4G39350,AT4G39400,AT4G39730,AT5G01520,AT5G01600,AT5G01850,AT5G01950,AT5G02290,AT5G02500,AT5G02810,AT5G03720,AT5G04040,AT5G04200,AT5G04340,AT5G04590,AT5G04770,AT5G05140,AT5G05410,AT5G05440,AT5G06980,AT5G07580,AT5G08130,AT5G08330,AT5G09810,AT5G10450,AT5G10550,AT5G11060,AT5G11090,AT5G11260,AT5G11700,AT5G11740,AT5G13100,AT5G13710,AT5G13730,AT5G13760,AT5G14710,AT5G14740,AT5G16830,AT5G18470,AT5G18630,AT5G18650,AT5G18670,AT5G19120,AT5G20250,AT5G22940,AT5G23730,AT5G24380,AT5G24470,AT5G24870,AT5G25280,AT5G26340,AT5G27350,AT5G28300,AT5G35735,AT5G37260,AT5G39660,AT5G40250,AT5G40390,AT5G41080,AT5G41410,AT5G42050,AT5G42650,AT5G45830,AT5G47060,AT5G47120,AT5G47200,AT5G47640,AT5G47910,AT5G48250,AT5G49360,AT5G49480,AT5G51460,AT5G53120,AT5G53450,AT5G54380,AT5G54470,AT5G55530,AT5G56980,AT5G57560,AT5G57660,AT5G58070,AT5G58650,AT5G59430,AT5G59730,AT5G60680,AT5G60850,AT5G61380,AT5G62170,AT5G62290,AT5G62670,AT5G63130,AT5G63810,AT5G64170,AT5G64310,AT5G64410,AT5G65630,AT5G65670,AT5G65890,AT5G66880,AT5G67030,AT5G67420,AT5G67560
Any	ZT0	0.999998761541932	1	0.646842074961138	AT1G04690,AT1G07890,AT1G17420,AT1G20440,AT1G20450,AT1G20696,AT1G21380,AT1G23490,AT1G27770,AT1G32640,AT1G54130,AT1G66880,AT1G67360,AT1G76180,AT2G03340,AT2G05940,AT2G17840,AT2G25250,AT2G30870,AT2G34650,AT2G40080,AT2G44490,AT2G45590,AT2G45740,AT2G46060,AT3G05630,AT3G06500,AT3G07390,AT3G10500,AT3G13310,AT3G14840,AT3G15350,AT3G18080,AT3G19590,AT3G22380,AT3G47160,AT3G52710,AT3G57630,AT4G04750,AT4G17615,AT4G23050,AT4G26090,AT4G27652,AT4G31550,AT4G34050,AT4G36010,AT4G39730,AT5G01850,AT5G01950,AT5G03720,AT5G05410,AT5G08130,AT5G09810,AT5G10550,AT5G11060,AT5G11740,AT5G13730,AT5G18470,AT5G24470,AT5G26340,AT5G28300,AT5G35735,AT5G41410,AT5G42050,AT5G42650,AT5G47060,AT5G53120,AT5G53450,AT5G65630,AT5G66880
Any	ZT12	0.0286403009209042	0.200482106446329	1.20879851143009	AT1G01060,AT1G01490,AT1G03090,AT1G06410,AT1G07180,AT1G09570,AT1G13260,AT1G18400,AT1G18740,AT1G19770,AT1G20650,AT1G35140,AT1G49500,AT1G49730,AT1G57680,AT1G61810,AT1G62380,AT1G65590,AT1G66150,AT1G66160,AT1G66180,AT1G68020,AT1G68840,AT1G69570,AT1G72820,AT1G76890,AT2G01850,AT2G18300,AT2G20670,AT2G26710,AT2G27500,AT2G30520,AT2G40000,AT2G42190,AT2G43330,AT2G43680,AT2G44920,AT2G46710,AT2G46780,AT2G47940,AT2G48020,AT3G01560,AT3G07350,AT3G07360,AT3G11760,AT3G15450,AT3G16850,AT3G19680,AT3G28180,AT3G30775,AT3G45780,AT3G47340,AT3G47610,AT3G49590,AT3G55430,AT3G58620,AT3G61060,AT3G61580,AT3G62720,AT4G13340,AT4G16780,AT4G18710,AT4G28240,AT4G30270,AT4G32030,AT4G35090,AT4G35470,AT4G36860,AT4G38470,AT4G39350,AT4G39400,AT5G04040,AT5G11700,AT5G18630,AT5G19120,AT5G27350,AT5G41080,AT5G45830,AT5G49360,AT5G57560,AT5G58650,AT5G59730,AT5G60680,AT5G60850,AT5G67420
Any	ZT16	0.00613135244091008	0.0600872539209188	1.41934913335692	AT1G03600,AT1G06040,AT1G06570,AT1G15820,AT1G18330,AT1G22770,AT1G26790,AT1G27050,AT1G44446,AT1G59740,AT1G60190,AT1G73480,AT1G73670,AT1G76600,AT1G77280,AT1G78070,AT2G32150,AT2G39010,AT2G46680,AT2G46830,AT3G11670,AT3G12320,AT3G17860,AT3G24840,AT3G26520,AT3G29575,AT3G47470,AT3G50740,AT3G54500,AT3G54890,AT3G59060,AT4G01026,AT4G02280,AT4G19710,AT4G25470,AT4G25480,AT4G32020,AT5G01520,AT5G04200,AT5G04590,AT5G06980,AT5G08330,AT5G39660,AT5G40390,AT5G54470,AT5G57660,AT5G58070,AT5G62170,AT5G64170,AT5G67030
Any	ZT20	0.93146278512549	1	0.769703919933278	AT1G09350,AT1G09530,AT1G12990,AT1G30690,AT1G56600,AT1G70210,AT2G28890,AT2G41900,AT2G43010,AT3G02120,AT3G13640,AT3G46620,AT3G54810,AT3G57870,AT4G35850,AT4G36380,AT5G01600,AT5G02810,AT5G47120,AT5G62290,AT5G63130,AT5G65890,AT5G67560
Any	ZT4	0.823206820029115	1	0.915154192097655	AT1G04400,AT1G09940,AT1G11260,AT1G18210,AT1G20840,AT1G21600,AT1G23710,AT1G25550,AT1G25560,AT1G27730,AT1G30640,AT1G32460,AT1G32920,AT1G55450,AT1G56220,AT1G59870,AT1G64610,AT1G69890,AT1G70090,AT1G75800,AT1G78620,AT1G79440,AT2G03120,AT2G16365,AT2G23320,AT2G24765,AT2G25930,AT2G33150,AT2G35880,AT2G36410,AT2G40140,AT2G41430,AT2G42790,AT3G02990,AT3G05220,AT3G06160,AT3G07650,AT3G08720,AT3G11820,AT3G14100,AT3G15630,AT3G19100,AT3G27380,AT3G48360,AT3G49530,AT3G60130,AT4G24240,AT4G32300,AT4G33300,AT4G33430,AT4G33980,AT4G35750,AT4G36920,AT5G02290,AT5G04340,AT5G04770,AT5G07580,AT5G13710,AT5G14710,AT5G20250,AT5G25280,AT5G37260,AT5G40250,AT5G47640,AT5G48250,AT5G54380,AT5G55530,AT5G61380,AT5G63810,AT5G64310,AT5G65670
Any	ZT8	0.00944226151924304	0.0771118024071515	1.24834824788827	AT1G01550,AT1G01720,AT1G05000,AT1G05710,AT1G08570,AT1G09070,AT1G15100,AT1G15750,AT1G19000,AT1G21050,AT1G22190,AT1G30110,AT1G33060,AT1G35510,AT1G37130,AT1G68440,AT1G68670,AT1G72750,AT1G75170,AT1G76160,AT1G76990,AT2G01420,AT2G18090,AT2G23460,AT2G24100,AT2G30040,AT2G36950,AT2G41100,AT2G41110,AT2G45880,AT2G46500,AT2G46735,AT2G46800,AT2G47010,AT2G47440,AT3G10985,AT3G11700,AT3G12560,AT3G16830,AT3G18290,AT3G19970,AT3G23030,AT3G24550,AT3G26810,AT3G44610,AT3G47430,AT3G50910,AT3G51950,AT3G52450,AT3G55980,AT3G56360,AT3G57530,AT3G62980,AT3G63010,AT4G00710,AT4G00730,AT4G01720,AT4G08950,AT4G19200,AT4G23060,AT4G27657,AT4G27940,AT4G30210,AT4G30440,AT4G31390,AT4G34150,AT4G35780,AT4G37460,AT4G38430,AT5G02500,AT5G05140,AT5G05440,AT5G10450,AT5G11090,AT5G11260,AT5G13100,AT5G13760,AT5G14740,AT5G16830,AT5G18650,AT5G18670,AT5G22940,AT5G23730,AT5G24380,AT5G24870,AT5G47200,AT5G47910,AT5G49480,AT5G51460,AT5G56980,AT5G59430,AT5G62670,AT5G64410
ZT0	Any	1.74524118415117e-07	8.55168180234073e-06	1.38568271750861	AT1G01060,AT1G01490,AT1G01550,AT1G01720,AT1G03090,AT1G05000,AT1G06410,AT1G06570,AT1G08570,AT1G09070,AT1G09570,AT1G09940,AT1G11260,AT1G13260,AT1G15750,AT1G19000,AT1G19770,AT1G21050,AT1G22190,AT1G23710,AT1G25550,AT1G25560,AT1G26790,AT1G27050,AT1G30110,AT1G32460,AT1G35140,AT1G35510,AT1G37130,AT1G44446,AT1G49500,AT1G49730,AT1G57680,AT1G65590,AT1G66150,AT1G66160,AT1G66180,AT1G68020,AT1G68440,AT1G68670,AT1G68840,AT1G69570,AT1G70090,AT1G72750,AT1G72820,AT1G73670,AT1G75170,AT1G76600,AT1G76990,AT2G01850,AT2G18090,AT2G18300,AT2G20670,AT2G23320,AT2G23460,AT2G24100,AT2G24765,AT2G26710,AT2G27500,AT2G30040,AT2G30520,AT2G36950,AT2G39010,AT2G40000,AT2G43330,AT2G43680,AT2G44920,AT2G45880,AT2G46735,AT2G46780,AT2G46800,AT2G46830,AT2G47440,AT2G47940,AT2G48020,AT3G01560,AT3G07350,AT3G11700,AT3G11760,AT3G12320,AT3G15450,AT3G16830,AT3G16850,AT3G17860,AT3G19100,AT3G19680,AT3G19970,AT3G23030,AT3G24550,AT3G26520,AT3G26810,AT3G30775,AT3G44610,AT3G47340,AT3G47430,AT3G50740,AT3G51950,AT3G52450,AT3G54500,AT3G55430,AT3G55980,AT3G56360,AT3G57530,AT3G58620,AT3G61060,AT3G61580,AT3G62720,AT3G62980,AT3G63010,AT4G00710,AT4G00730,AT4G01720,AT4G08950,AT4G16780,AT4G18710,AT4G19200,AT4G25470,AT4G27657,AT4G27940,AT4G28240,AT4G30210,AT4G30270,AT4G32030,AT4G32300,AT4G34150,AT4G35090,AT4G35470,AT4G35780,AT4G36860,AT4G37460,AT4G38470,AT4G39400,AT5G04040,AT5G05140,AT5G05440,AT5G06980,AT5G10450,AT5G11090,AT5G13100,AT5G13760,AT5G14740,AT5G16830,AT5G18630,AT5G18650,AT5G18670,AT5G19120,AT5G20250,AT5G22940,AT5G23730,AT5G24870,AT5G25280,AT5G27350,AT5G39660,AT5G40250,AT5G41080,AT5G49360,AT5G49480,AT5G51460,AT5G54380,AT5G56980,AT5G57560,AT5G57660,AT5G58650,AT5G59730,AT5G60680,AT5G60850,AT5G64410,AT5G67420
ZT0	ZT0	1	1	0	
ZT0	ZT12	0.0016683970309072	0.0272504848381509	1.41270362585391	AT1G01060,AT1G01490,AT1G03090,AT1G06410,AT1G09570,AT1G13260,AT1G19770,AT1G35140,AT1G49500,AT1G49730,AT1G57680,AT1G65590,AT1G66150,AT1G66160,AT1G66180,AT1G68020,AT1G68840,AT1G69570,AT1G72820,AT2G01850,AT2G18300,AT2G20670,AT2G26710,AT2G27500,AT2G30520,AT2G40000,AT2G43330,AT2G43680,AT2G44920,AT2G46780,AT2G47940,AT2G48020,AT3G01560,AT3G07350,AT3G11760,AT3G15450,AT3G16850,AT3G19680,AT3G30775,AT3G47340,AT3G55430,AT3G58620,AT3G61060,AT3G61580,AT3G62720,AT4G16780,AT4G18710,AT4G28240,AT4G30270,AT4G32030,AT4G35090,AT4G35470,AT4G36860,AT4G38470,AT4G39400,AT5G04040,AT5G18630,AT5G19120,AT5G27350,AT5G41080,AT5G49360,AT5G57560,AT5G58650,AT5G59730,AT5G60680,AT5G60850,AT5G67420
ZT0	ZT16	0.00285305968363001	0.0349499811244676	2.08441558441558	AT1G06570,AT1G26790,AT1G27050,AT1G44446,AT1G73670,AT1G76600,AT2G39010,AT2G46830,AT3G12320,AT3G17860,AT3G26520,AT3G50740,AT3G54500,AT4G25470,AT5G06980,AT5G39660,AT5G57660
ZT0	ZT20	1	1	0	
ZT0	ZT4	0.780496950833071	1	0.851609480014149	AT1G09940,AT1G11260,AT1G23710,AT1G25550,AT1G25560,AT1G32460,AT1G70090,AT2G23320,AT2G24765,AT3G19100,AT4G32300,AT5G20250,AT5G25280,AT5G40250,AT5G54380
ZT0	ZT8	0.000863638777611028	0.0211591500514702	1.43824675324675	AT1G01550,AT1G01720,AT1G05000,AT1G08570,AT1G09070,AT1G15750,AT1G19000,AT1G21050,AT1G22190,AT1G30110,AT1G35510,AT1G37130,AT1G68440,AT1G68670,AT1G72750,AT1G75170,AT1G76990,AT2G18090,AT2G23460,AT2G24100,AT2G30040,AT2G36950,AT2G45880,AT2G46735,AT2G46800,AT2G47440,AT3G11700,AT3G16830,AT3G19970,AT3G23030,AT3G24550,AT3G26810,AT3G44610,AT3G47430,AT3G51950,AT3G52450,AT3G55980,AT3G56360,AT3G57530,AT3G62980,AT3G63010,AT4G00710,AT4G00730,AT4G01720,AT4G08950,AT4G19200,AT4G27657,AT4G27940,AT4G30210,AT4G34150,AT4G35780,AT4G37460,AT5G05140,AT5G05440,AT5G10450,AT5G11090,AT5G13100,AT5G13760,AT5G14740,AT5G16830,AT5G18650,AT5G18670,AT5G22940,AT5G23730,AT5G24870,AT5G49480,AT5G51460,AT5G56980,AT5G64410
ZT12	Any	0.999722053278273	1	0.683948863636364	AT1G07890,AT1G15100,AT1G17420,AT1G21600,AT1G32640,AT1G55450,AT1G66880,AT1G67360,AT1G78620,AT1G79440,AT2G03120,AT2G05940,AT2G28890,AT2G33150,AT2G34650,AT2G40080,AT2G41900,AT2G45740,AT2G46500,AT3G02120,AT3G06160,AT3G07390,AT3G08720,AT3G11820,AT3G14840,AT3G29575,AT3G46620,AT3G50910,AT3G52710,AT3G57630,AT4G04750,AT4G17615,AT4G26090,AT4G27652,AT4G35750,AT4G35850,AT4G39730,AT5G01850,AT5G02290,AT5G02500,AT5G03720,AT5G04340,AT5G10550,AT5G13730,AT5G41410,AT5G42050,AT5G42650,AT5G47120,AT5G47640,AT5G61380,AT5G62290,AT5G64310,AT5G65630,AT5G65670
ZT12	ZT0	0.999822601668514	1	0.564529220779221	AT1G07890,AT1G17420,AT1G32640,AT1G66880,AT1G67360,AT2G05940,AT2G34650,AT2G40080,AT2G45740,AT3G07390,AT3G14840,AT3G52710,AT3G57630,AT4G04750,AT4G17615,AT4G26090,AT4G27652,AT4G39730,AT5G01850,AT5G03720,AT5G10550,AT5G13730,AT5G41410,AT5G42050,AT5G42650,AT5G65630
ZT12	ZT12	1	1	0	
ZT12	ZT16	0.775443810704194	1	0.694805194805195	AT3G29575
ZT12	ZT20	0.664727290478508	1	0.903861625100563	AT2G28890,AT2G41900,AT3G02120,AT3G46620,AT4G35850,AT5G47120,AT5G62290
ZT12	ZT4	0.863216748751366	1	0.796773192677629	AT1G21600,AT1G55450,AT1G78620,AT1G79440,AT2G03120,AT2G33150,AT3G06160,AT3G08720,AT3G11820,AT4G35750,AT5G02290,AT5G04340,AT5G47640,AT5G61380,AT5G64310,AT5G65670
ZT12	ZT8	0.496960162685311	1	1.10120068610635	AT1G15100,AT2G46500,AT3G50910,AT5G02500
ZT16	Any	0.662874619990529	1	0.950547823511993	AT1G05710,AT1G18210,AT1G18400,AT1G20840,AT1G23490,AT1G27730,AT1G27770,AT1G30640,AT1G32920,AT1G61810,AT1G75800,AT2G01420,AT2G30870,AT2G35880,AT2G40140,AT2G41100,AT2G41110,AT2G41430,AT3G10500,AT3G10985,AT3G12560,AT3G18290,AT3G22380,AT3G27380,AT3G28180,AT3G49530,AT4G13340,AT4G30440,AT4G31390,AT4G33300,AT4G33430,AT4G36920,AT5G07580,AT5G13710,AT5G14710,AT5G18470,AT5G47200,AT5G47910,AT5G53450,AT5G62670
ZT16	ZT0	0.421733179480692	1	1.13484848484848	AT1G23490,AT1G27770,AT2G30870,AT3G10500,AT3G22380,AT5G18470,AT5G53450
ZT16	ZT12	0.340274073709717	1	1.35729386892178	AT1G18400,AT1G61810,AT3G28180,AT4G13340
ZT16	ZT16	1	1	0	
ZT16	ZT20	1	1	0	
