"p.value"	"enrichment"	"gene.table"
"1"	1.38344473759055e-120	12.3079518920987	"AT1G01390"
"2"	1.38344473759055e-120	12.3079518920987	"AT1G01430"
"3"	1.38344473759055e-120	12.3079518920987	"AT1G01490"
"4"	1.38344473759055e-120	12.3079518920987	"AT1G01720"
"5"	1.38344473759055e-120	12.3079518920987	"AT1G02050"
"6"	1.38344473759055e-120	12.3079518920987	"AT1G03055"
"7"	1.38344473759055e-120	12.3079518920987	"AT1G04950"
"8"	1.38344473759055e-120	12.3079518920987	"AT1G06570"
"9"	1.38344473759055e-120	12.3079518920987	"AT1G08315"
"10"	1.38344473759055e-120	12.3079518920987	"AT1G08800"
"11"	1.38344473759055e-120	12.3079518920987	"AT1G09070"
"12"	1.38344473759055e-120	12.3079518920987	"AT1G10170"
"13"	1.38344473759055e-120	12.3079518920987	"AT1G12500"
"14"	1.38344473759055e-120	12.3079518920987	"AT1G13700"
"15"	1.38344473759055e-120	12.3079518920987	"AT1G14740"
"16"	1.38344473759055e-120	12.3079518920987	"AT1G15750"
"17"	1.38344473759055e-120	12.3079518920987	"AT1G15920"
"18"	1.38344473759055e-120	12.3079518920987	"AT1G17200"
"19"	1.38344473759055e-120	12.3079518920987	"AT1G23030"
"20"	1.38344473759055e-120	12.3079518920987	"AT1G23390"
"21"	1.38344473759055e-120	12.3079518920987	"AT1G32900"
"22"	1.38344473759055e-120	12.3079518920987	"AT1G35580"
"23"	1.38344473759055e-120	12.3079518920987	"AT1G47530"
"24"	1.38344473759055e-120	12.3079518920987	"AT1G50040"
"25"	1.38344473759055e-120	12.3079518920987	"AT1G50460"
"26"	1.38344473759055e-120	12.3079518920987	"AT1G53170"
"27"	1.38344473759055e-120	12.3079518920987	"AT1G54920"
"28"	1.38344473759055e-120	12.3079518920987	"AT1G56500"
"29"	1.38344473759055e-120	12.3079518920987	"AT1G63900"
"30"	1.38344473759055e-120	12.3079518920987	"AT1G64530"
"31"	1.38344473759055e-120	12.3079518920987	"AT1G66180"
"32"	1.38344473759055e-120	12.3079518920987	"AT1G68110"
"33"	1.38344473759055e-120	12.3079518920987	"AT1G69160"
"34"	1.38344473759055e-120	12.3079518920987	"AT1G70180"
"35"	1.38344473759055e-120	12.3079518920987	"AT1G71020"
"36"	1.38344473759055e-120	12.3079518920987	"AT1G71040"
"37"	1.38344473759055e-120	12.3079518920987	"AT1G73660"
"38"	1.38344473759055e-120	12.3079518920987	"AT1G75660"
"39"	1.38344473759055e-120	12.3079518920987	"AT1G76110"
"40"	1.38344473759055e-120	12.3079518920987	"AT1G76490"
"41"	1.38344473759055e-120	12.3079518920987	"AT1G76570"
"42"	1.38344473759055e-120	12.3079518920987	"AT2G01850"
"43"	1.38344473759055e-120	12.3079518920987	"AT2G07360"
"44"	1.38344473759055e-120	12.3079518920987	"AT2G15240"
"45"	1.38344473759055e-120	12.3079518920987	"AT2G17880"
"46"	1.38344473759055e-120	12.3079518920987	"AT2G23980"
"47"	1.38344473759055e-120	12.3079518920987	"AT2G24100"
