"p.value"	"enrichment"	"gene.table"
"1"	7.05683421548883e-47	12.7771349483426	"AT1G01390"
"2"	7.05683421548883e-47	12.7771349483426	"AT1G01720"
"3"	7.05683421548883e-47	12.7771349483426	"AT1G03055"
"4"	7.05683421548883e-47	12.7771349483426	"AT1G09070"
"5"	7.05683421548883e-47	12.7771349483426	"AT1G10170"
"6"	7.05683421548883e-47	12.7771349483426	"AT1G15750"
"7"	7.05683421548883e-47	12.7771349483426	"AT1G15920"
"8"	7.05683421548883e-47	12.7771349483426	"AT1G23030"
"9"	7.05683421548883e-47	12.7771349483426	"AT1G47530"
"10"	7.05683421548883e-47	12.7771349483426	"AT1G50460"
"11"	7.05683421548883e-47	12.7771349483426	"AT1G53170"
"12"	7.05683421548883e-47	12.7771349483426	"AT1G56500"
"13"	7.05683421548883e-47	12.7771349483426	"AT1G63900"
"14"	7.05683421548883e-47	12.7771349483426	"AT1G71040"
"15"	7.05683421548883e-47	12.7771349483426	"AT1G76570"
"16"	7.05683421548883e-47	12.7771349483426	"AT2G23980"
"17"	7.05683421548883e-47	12.7771349483426	"AT2G24100"
"18"	7.05683421548883e-47	12.7771349483426	"AT2G25430"
"19"	7.05683421548883e-47	12.7771349483426	"AT2G25530"
"20"	7.05683421548883e-47	12.7771349483426	"AT2G30470"
"21"	7.05683421548883e-47	12.7771349483426	"AT2G31160"
"22"	7.05683421548883e-47	12.7771349483426	"AT2G36950"
"23"	7.05683421548883e-47	12.7771349483426	"AT2G45800"
"24"	7.05683421548883e-47	12.7771349483426	"AT2G46210"
"25"	7.05683421548883e-47	12.7771349483426	"AT2G46735"
"26"	7.05683421548883e-47	12.7771349483426	"AT2G47700"
"27"	7.05683421548883e-47	12.7771349483426	"AT3G01430"
"28"	7.05683421548883e-47	12.7771349483426	"AT3G10340"
"29"	7.05683421548883e-47	12.7771349483426	"AT3G11700"
"30"	7.05683421548883e-47	12.7771349483426	"AT3G16310"
"31"	7.05683421548883e-47	12.7771349483426	"AT3G18780"
"32"	7.05683421548883e-47	12.7771349483426	"AT3G21865"
"33"	7.05683421548883e-47	12.7771349483426	"AT3G24550"
"34"	7.05683421548883e-47	12.7771349483426	"AT3G44610"
"35"	7.05683421548883e-47	12.7771349483426	"AT3G56360"
"36"	7.05683421548883e-47	12.7771349483426	"AT3G60910"
"37"	7.05683421548883e-47	12.7771349483426	"AT3G62980"
"38"	7.05683421548883e-47	12.7771349483426	"AT3G63500"
"39"	7.05683421548883e-47	12.7771349483426	"AT4G00050"
"40"	7.05683421548883e-47	12.7771349483426	"AT4G00730"
"41"	7.05683421548883e-47	12.7771349483426	"AT4G19200"
"42"	7.05683421548883e-47	12.7771349483426	"AT4G20870"
"43"	7.05683421548883e-47	12.7771349483426	"AT4G24260"
"44"	7.05683421548883e-47	12.7771349483426	"AT4G24760"
"45"	7.05683421548883e-47	12.7771349483426	"AT4G27880"
"46"	7.05683421548883e-47	12.7771349483426	"AT4G31080"
"47"	7.05683421548883e-47	12.7771349483426	"AT5G03555"
"48"	7.05683421548883e-47	12.7771349483426	"AT5G05140"
"49"	7.05683421548883e-47	12.7771349483426	"AT5G12010"
"50"	7.05683421548883e-47	12.7771349483426	"AT5G13100"
"51"	7.05683421548883e-47	12.7771349483426	"AT5G13770"
"52"	7.05683421548883e-47	12.7771349483426	"AT5G18650"
"53"	7.05683421548883e-47	12.7771349483426	"AT5G18670"
"54"	7.05683421548883e-47	12.7771349483426	"AT5G42100"
"55"	7.05683421548883e-47	12.7771349483426	"AT5G57360"
"56"	7.05683421548883e-47	12.7771349483426	"AT5G58110"
"57"	7.05683421548883e-47	12.7771349483426	"AT5G58950"
"58"	7.05683421548883e-47	12.7771349483426	"AT5G59960"
"59"	7.05683421548883e-47	12.7771349483426	"AT5G66770"
