genes troughs peaks
AT4G16950 ZT0 ZT8
AT4G16990 ZT12 ZT0
AT4G17030 ZT8 ZT20
AT4G16050 ZT16 ZT8
AT4G16060 ZT0 ZT12
AT4G16110 ZT12 ZT0
AT4G16140 ZT8 ZT0
AT4G16180 ZT4 ZT20
AT4G16190 ZT4 ZT12
AT4G16390 ZT20 ZT8
AT4G16480 ZT12 ZT0
AT4G15620 ZT0 ZT12
AT4G15640 ZT0 ZT12
AT4G15660 ZT4 ZT0
AT4G15700 ZT4 ZT0
AT4G15770 ZT20 ZT8
AT4G15780 ZT8 ZT0
AT4G15840 ZT8 ZT0
AT4G15930 ZT8 ZT20
AT4G15955 ZT20 ZT8
AT4G15530 ZT8 ZT4
AT4G15570 ZT16 ZT8
AT4G15110 ZT0 ZT8
AT4G15260 ZT4 ZT0
AT4G15410 ZT0 ZT12
AT4G15430 ZT8 ZT0
AT4G15520 ZT4 ZT16
AT4G14605 ZT12 ZT4
AT4G14660 ZT4 ZT12
AT4G14720 ZT12 ZT0
AT4G14750 ZT12 ZT0
AT4G14820 ZT0 ZT16
AT4G14850 ZT0 ZT12
AT4G14980 ZT8 ZT16
AT4G14540 ZT8 ZT0
AT4G14550 ZT12 ZT4
AT4G14220 ZT0 ZT12
AT4G14230 ZT0 ZT8
AT4G14240 ZT16 ZT4
AT4G14270 ZT0 ZT8
AT4G14300 ZT16 ZT0
AT4G14480 ZT12 ZT0
AT4G13990 ZT0 ZT4
AT4G14070 ZT0 ZT12
AT1G56600 ZT20 ZT8
AT1G56650 ZT0 ZT12
AT1G25360 ZT20 ZT8
AT1G25230 ZT12 ZT0
AT1G25275 ZT4 ZT16
AT1G25320 ZT0 ZT8
AT1G24735 ZT20 ZT4
AT1G56720 ZT12 ZT0
AT1G28330 ZT4 ZT20
AT1G28210 ZT0 ZT8
AT1G28230 ZT0 ZT8
AT1G56710 ZT0 ZT12
AT1G56670 ZT16 ZT4
AT1G56590 ZT8 ZT0
AT5G08750 ZT12 ZT0
AT5G22000 ZT8 ZT0
AT5G22060 ZT0 ZT12
AT1G28320 ZT0 ZT20
AT5G04150 ZT4 ZT20
AT5G04260 ZT4 ZT12
AT5G04270 ZT12 ZT0
AT5G04190 ZT12 ZT0
AT5G04200 ZT16 ZT4
AT5G04250 ZT0 ZT8
