p.value	enrichment	genes
1	1.21061601876482e-20	2.744060484546	AT1G03600
2	NA	NA	AT1G04180
3	NA	NA	AT1G04530
4	NA	NA	AT1G15820
5	NA	NA	AT1G18330
6	NA	NA	AT1G18740
7	NA	NA	AT1G19330
8	NA	NA	AT1G20650
9	NA	NA	AT1G21080
10	NA	NA	AT1G30690
11	NA	NA	AT1G49450
12	NA	NA	AT1G51680
13	NA	NA	AT1G53580
14	NA	NA	AT1G54100
15	NA	NA	AT1G54130
16	NA	NA	AT1G56670
17	NA	NA	AT1G60190
18	NA	NA	AT1G64660
19	NA	NA	AT1G70210
20	NA	NA	AT1G73390
21	NA	NA	AT1G73480
22	NA	NA	AT1G74790
23	NA	NA	AT1G76360
24	NA	NA	AT1G77280
25	NA	NA	AT1G80820
26	NA	NA	AT2G01890
27	NA	NA	AT2G02080
28	NA	NA	AT2G04350
29	NA	NA	AT2G27310
30	NA	NA	AT2G31390
31	NA	NA	AT2G32150
32	NA	NA	AT2G41870
33	NA	NA	AT2G42190
34	NA	NA	AT2G43010
35	NA	NA	AT2G45310
36	NA	NA	AT2G45600
37	NA	NA	AT2G46340
38	NA	NA	AT2G46660
39	NA	NA	AT2G46680
40	NA	NA	AT2G47180
41	NA	NA	AT3G05630
42	NA	NA	AT3G05910
43	NA	NA	AT3G07360
44	NA	NA	AT3G10420
45	NA	NA	AT3G11670
46	NA	NA	AT3G11900
47	NA	NA	AT3G12600
48	NA	NA	AT3G13310
49	NA	NA	AT3G13640
50	NA	NA	AT3G15350
51	NA	NA	AT3G15540
52	NA	NA	AT3G15810
53	NA	NA	AT3G23400
54	NA	NA	AT3G46690
55	NA	NA	AT3G47540
56	NA	NA	AT3G51160
57	NA	NA	AT3G51670
58	NA	NA	AT3G52880
59	NA	NA	AT3G54810
60	NA	NA	AT3G59940
61	NA	NA	AT3G61880
62	NA	NA	AT4G02280
63	NA	NA	AT4G04210
64	NA	NA	AT4G05020
65	NA	NA	AT4G11820
66	NA	NA	AT4G23050
67	NA	NA	AT4G30530
68	NA	NA	AT4G30960
69	NA	NA	AT4G32020
70	NA	NA	AT4G39350
71	NA	NA	AT5G01520
72	NA	NA	AT5G03760
73	NA	NA	AT5G04060
74	NA	NA	AT5G04590
75	NA	NA	AT5G08130
76	NA	NA	AT5G09810
77	NA	NA	AT5G11700
78	NA	NA	AT5G12130
79	NA	NA	AT5G14640
80	NA	NA	AT5G19040
81	NA	NA	AT5G22290
82	NA	NA	AT5G22890
83	NA	NA	AT5G24380
84	NA	NA	AT5G28300
85	NA	NA	AT5G40390
86	NA	NA	AT5G40630
87	NA	NA	AT5G43150
88	NA	NA	AT5G43745
89	NA	NA	AT5G47040
90	NA	NA	AT5G48930
91	NA	NA	AT5G53120
92	NA	NA	AT5G54470
93	NA	NA	AT5G56180
94	NA	NA	AT5G57040
95	NA	NA	AT5G57780
96	NA	NA	AT5G59430
97	NA	NA	AT5G59540
98	NA	NA	AT5G63130
99	NA	NA	AT5G65890
100	NA	NA	AT5G67030
101	NA	NA	AT5G67390
