p.value	enrichment	genes
1	1.15226466364925e-06	2.68936047191039	AT1G01310
2	NA	NA	AT1G04400
3	NA	NA	AT1G28580
4	NA	NA	AT1G33060
5	NA	NA	AT1G56220
6	NA	NA	AT1G64380
7	NA	NA	AT1G64610
8	NA	NA	AT1G76160
9	NA	NA	AT1G76890
10	NA	NA	AT2G30530
11	NA	NA	AT2G47010
12	NA	NA	AT3G02990
13	NA	NA	AT3G14100
14	NA	NA	AT3G15630
15	NA	NA	AT3G47610
16	NA	NA	AT3G48360
17	NA	NA	AT3G49590
18	NA	NA	AT3G51370
19	NA	NA	AT3G60130
20	NA	NA	AT3G61160
21	NA	NA	AT3G61260
22	NA	NA	AT4G24240
23	NA	NA	AT4G32060
24	NA	NA	AT4G33150
25	NA	NA	AT4G36540
26	NA	NA	AT4G38430
27	NA	NA	AT5G11260
28	NA	NA	AT5G37260
29	NA	NA	AT5G55530
30	NA	NA	AT5G66190
