p.value	enrichment	genes
1	1.36595074798851e-06	2.25095706033246	AT1G04690
2	NA	NA	AT1G09350
3	NA	NA	AT1G12990
4	NA	NA	AT1G19310
5	NA	NA	AT1G20440
6	NA	NA	AT1G20450
7	NA	NA	AT1G20693
8	NA	NA	AT1G21380
9	NA	NA	AT1G22770
10	NA	NA	AT1G26800
11	NA	NA	AT1G29395
12	NA	NA	AT1G59870
13	NA	NA	AT2G15970
14	NA	NA	AT2G16365
15	NA	NA	AT2G17840
16	NA	NA	AT2G18170
17	NA	NA	AT2G18350
18	NA	NA	AT2G22430
19	NA	NA	AT2G25250
20	NA	NA	AT2G36410
21	NA	NA	AT2G42790
22	NA	NA	AT3G09000
23	NA	NA	AT3G10300
24	NA	NA	AT3G18080
25	NA	NA	AT3G45600
26	NA	NA	AT3G50260
27	NA	NA	AT3G57870
28	NA	NA	AT4G05180
29	NA	NA	AT4G22250
30	NA	NA	AT5G01950
31	NA	NA	AT5G05410
32	NA	NA	AT5G11740
33	NA	NA	AT5G24470
34	NA	NA	AT5G26340
35	NA	NA	AT5G35735
36	NA	NA	AT5G47060
37	NA	NA	AT5G48250
38	NA	NA	AT5G57630
39	NA	NA	AT5G58070
40	NA	NA	AT5G66880
41	NA	NA	AT5G67560
