p.value	enrichment	genes
1	1.41849758385255e-48	4.80056187075431	AT1G01060
2	NA	NA	AT1G01540
3	NA	NA	AT1G03090
4	NA	NA	AT1G06410
5	NA	NA	AT1G09070
6	NA	NA	AT1G09390
7	NA	NA	AT1G10020
8	NA	NA	AT1G11260
9	NA	NA	AT1G13260
10	NA	NA	AT1G19770
11	NA	NA	AT1G21010
12	NA	NA	AT1G21910
13	NA	NA	AT1G22190
14	NA	NA	AT1G23390
15	NA	NA	AT1G23710
16	NA	NA	AT1G25550
17	NA	NA	AT1G25560
18	NA	NA	AT1G28130
19	NA	NA	AT1G37130
20	NA	NA	AT1G45688
21	NA	NA	AT1G49500
22	NA	NA	AT1G51950
23	NA	NA	AT1G53560
24	NA	NA	AT1G57680
25	NA	NA	AT1G66160
26	NA	NA	AT1G66180
27	NA	NA	AT1G68670
28	NA	NA	AT1G68840
29	NA	NA	AT1G72820
30	NA	NA	AT1G73670
31	NA	NA	AT1G76600
32	NA	NA	AT1G76990
33	NA	NA	AT1G77760
34	NA	NA	AT1G80440
35	NA	NA	AT2G01590
36	NA	NA	AT2G01850
37	NA	NA	AT2G18090
38	NA	NA	AT2G19800
39	NA	NA	AT2G20670
40	NA	NA	AT2G24790
41	NA	NA	AT2G27500
42	NA	NA	AT2G30040
43	NA	NA	AT2G30490
44	NA	NA	AT2G36950
45	NA	NA	AT2G38310
46	NA	NA	AT2G40000
47	NA	NA	AT3G01560
48	NA	NA	AT3G01820
49	NA	NA	AT3G11700
50	NA	NA	AT3G12150
51	NA	NA	AT3G12630
52	NA	NA	AT3G14990
53	NA	NA	AT3G15450
54	NA	NA	AT3G15850
55	NA	NA	AT3G19680
56	NA	NA	AT3G23030
57	NA	NA	AT3G24550
58	NA	NA	AT3G26810
59	NA	NA	AT3G30775
60	NA	NA	AT3G49790
61	NA	NA	AT3G52060
62	NA	NA	AT3G53420
63	NA	NA	AT3G55430
64	NA	NA	AT3G55980
65	NA	NA	AT3G56360
66	NA	NA	AT3G61580
67	NA	NA	AT3G62980
68	NA	NA	AT3G63010
69	NA	NA	AT4G00730
70	NA	NA	AT4G01250
71	NA	NA	AT4G01720
72	NA	NA	AT4G02380
73	NA	NA	AT4G08950
74	NA	NA	AT4G25470
75	NA	NA	AT4G27657
76	NA	NA	AT4G27940
77	NA	NA	AT4G28240
78	NA	NA	AT4G30210
79	NA	NA	AT4G30270
80	NA	NA	AT4G32030
81	NA	NA	AT4G34150
82	NA	NA	AT4G37540
83	NA	NA	AT4G39400
84	NA	NA	AT5G01350
85	NA	NA	AT5G03140
86	NA	NA	AT5G05440
87	NA	NA	AT5G12230
88	NA	NA	AT5G13100
89	NA	NA	AT5G13760
90	NA	NA	AT5G14730
91	NA	NA	AT5G18630
92	NA	NA	AT5G19120
93	NA	NA	AT5G20250
94	NA	NA	AT5G22940
95	NA	NA	AT5G24870
96	NA	NA	AT5G27350
97	NA	NA	AT5G40250
98	NA	NA	AT5G41080
99	NA	NA	AT5G42100
100	NA	NA	AT5G49480
101	NA	NA	AT5G51460
102	NA	NA	AT5G54380
103	NA	NA	AT5G56980
104	NA	NA	AT5G57560
105	NA	NA	AT5G58650
106	NA	NA	AT5G58720
107	NA	NA	AT5G59730
108	NA	NA	AT5G60680
109	NA	NA	AT5G60850
110	NA	NA	AT5G65430
111	NA	NA	AT5G67420
