p.value	enrichment	genes
1	3.06498285055213e-07	4.93909429041212	AT1G11260
2	NA	NA	AT1G55960
3	NA	NA	AT1G69570
4	NA	NA	AT2G05540
5	NA	NA	AT2G20670
6	NA	NA	AT2G46830
7	NA	NA	AT3G12320
8	NA	NA	AT3G15450
9	NA	NA	AT3G30775
10	NA	NA	AT3G47340
11	NA	NA	AT3G54500
12	NA	NA	AT4G19200
13	NA	NA	AT5G05440
14	NA	NA	AT5G06980
15	NA	NA	AT5G14120
