p.value	enrichment	genes
1	3.30700560396594e-28	2.22798943261554	AT1G01540
2	NA	NA	AT1G01550
3	NA	NA	AT1G01620
4	NA	NA	AT1G01720
5	NA	NA	AT1G02640
6	NA	NA	AT1G03610
7	NA	NA	AT1G05000
8	NA	NA	AT1G06410
9	NA	NA	AT1G08570
10	NA	NA	AT1G09070
11	NA	NA	AT1G09390
12	NA	NA	AT1G11260
13	NA	NA	AT1G12080
14	NA	NA	AT1G12240
15	NA	NA	AT1G13080
16	NA	NA	AT1G13260
17	NA	NA	AT1G15670
18	NA	NA	AT1G15750
19	NA	NA	AT1G19000
20	NA	NA	AT1G19770
21	NA	NA	AT1G21000
22	NA	NA	AT1G21050
23	NA	NA	AT1G22330
24	NA	NA	AT1G22640
25	NA	NA	AT1G23710
26	NA	NA	AT1G23870
27	NA	NA	AT1G25550
28	NA	NA	AT1G27050
29	NA	NA	AT1G27290
30	NA	NA	AT1G28130
31	NA	NA	AT1G30110
32	NA	NA	AT1G32170
33	NA	NA	AT1G32460
34	NA	NA	AT1G35670
35	NA	NA	AT1G36050
36	NA	NA	AT1G37130
37	NA	NA	AT1G49500
38	NA	NA	AT1G54740
39	NA	NA	AT1G61740
40	NA	NA	AT1G63420
41	NA	NA	AT1G65590
42	NA	NA	AT1G66150
43	NA	NA	AT1G66160
44	NA	NA	AT1G66180
45	NA	NA	AT1G67050
46	NA	NA	AT1G67340
47	NA	NA	AT1G68020
48	NA	NA	AT1G68440
49	NA	NA	AT1G68670
50	NA	NA	AT1G68840
51	NA	NA	AT1G69570
52	NA	NA	AT1G70940
53	NA	NA	AT1G72750
54	NA	NA	AT1G72820
55	NA	NA	AT1G73670
56	NA	NA	AT1G73830
57	NA	NA	AT1G75170
58	NA	NA	AT1G75180
59	NA	NA	AT1G76490
60	NA	NA	AT1G76600
61	NA	NA	AT1G76990
62	NA	NA	AT1G79420
63	NA	NA	AT1G80440
64	NA	NA	AT2G01590
65	NA	NA	AT2G01850
66	NA	NA	AT2G02180
67	NA	NA	AT2G06850
68	NA	NA	AT2G18090
69	NA	NA	AT2G18300
70	NA	NA	AT2G18700
71	NA	NA	AT2G24100
72	NA	NA	AT2G25900
73	NA	NA	AT2G26690
74	NA	NA	AT2G26710
75	NA	NA	AT2G27500
76	NA	NA	AT2G27830
77	NA	NA	AT2G30040
78	NA	NA	AT2G36950
79	NA	NA	AT2G38310
80	NA	NA	AT2G38820
81	NA	NA	AT2G40000
82	NA	NA	AT2G41310
83	NA	NA	AT2G43060
84	NA	NA	AT2G44790
85	NA	NA	AT2G44920
86	NA	NA	AT2G45170
87	NA	NA	AT2G45880
88	NA	NA	AT2G45960
89	NA	NA	AT2G46310
90	NA	NA	AT2G46735
91	NA	NA	AT2G46780
92	NA	NA	AT2G46800
93	NA	NA	AT2G47440
