p.value	enrichment	genes
212	NA	NA	AT2G47490
213	NA	NA	AT2G47710
214	NA	NA	AT2G48020
215	NA	NA	AT3G01560
216	NA	NA	AT3G02150
217	NA	NA	AT3G02540
218	NA	NA	AT3G03990
219	NA	NA	AT3G04730
220	NA	NA	AT3G05490
221	NA	NA	AT3G06080
222	NA	NA	AT3G06760
223	NA	NA	AT3G07350
224	NA	NA	AT3G07760
225	NA	NA	AT3G11700
226	NA	NA	AT3G11760
227	NA	NA	AT3G12120
228	NA	NA	AT3G12150
229	NA	NA	AT3G12630
230	NA	NA	AT3G13040
231	NA	NA	AT3G13440
232	NA	NA	AT3G13510
233	NA	NA	AT3G13750
234	NA	NA	AT3G13810
235	NA	NA	AT3G14770
236	NA	NA	AT3G14990
237	NA	NA	AT3G15510
238	NA	NA	AT3G15760
239	NA	NA	AT3G15770
240	NA	NA	AT3G15850
241	NA	NA	AT3G16240
242	NA	NA	AT3G16570
243	NA	NA	AT3G16830
244	NA	NA	AT3G16850
245	NA	NA	AT3G17510
246	NA	NA	AT3G17609
247	NA	NA	AT3G17860
248	NA	NA	AT3G18980
249	NA	NA	AT3G19100
250	NA	NA	AT3G19520
251	NA	NA	AT3G19680
252	NA	NA	AT3G19850
253	NA	NA	AT3G19970
254	NA	NA	AT3G21670
255	NA	NA	AT3G21690
256	NA	NA	AT3G22420
257	NA	NA	AT3G22440
258	NA	NA	AT3G23000
259	NA	NA	AT3G23805
260	NA	NA	AT3G23920
261	NA	NA	AT3G24550
262	NA	NA	AT3G25585
263	NA	NA	AT3G26520
264	NA	NA	AT3G26810
265	NA	NA	AT3G27170
266	NA	NA	AT3G27770
267	NA	NA	AT3G28040
268	NA	NA	AT3G29240
269	NA	NA	AT3G30775
270	NA	NA	AT3G46600
271	NA	NA	AT3G47430
272	NA	NA	AT3G47600
273	NA	NA	AT3G47620
274	NA	NA	AT3G49220
275	NA	NA	AT3G49780
276	NA	NA	AT3G49790
277	NA	NA	AT3G49940
278	NA	NA	AT3G50560
279	NA	NA	AT3G50630
280	NA	NA	AT3G50740
281	NA	NA	AT3G51840
282	NA	NA	AT3G51950
283	NA	NA	AT3G54920
284	NA	NA	AT3G55430
285	NA	NA	AT3G55560
286	NA	NA	AT3G55580
287	NA	NA	AT3G55980
288	NA	NA	AT3G56200
289	NA	NA	AT3G56290
