p.value	enrichment	genes
1	2.7767636903166e-09	5.12412989343975	AT1G22770
2	NA	NA	AT1G60800
3	NA	NA	AT1G76590
4	NA	NA	AT2G16365
5	NA	NA	AT2G17840
6	NA	NA	AT2G36410
7	NA	NA	AT2G46060
8	NA	NA	AT3G18080
9	NA	NA	AT3G47160
10	NA	NA	AT3G53460
11	NA	NA	AT4G01026
12	NA	NA	AT4G03210
13	NA	NA	AT4G14270
14	NA	NA	AT5G02810
15	NA	NA	AT5G05410
16	NA	NA	AT5G24470
17	NA	NA	AT5G42250
18	NA	NA	AT5G48250
19	NA	NA	AT5G57630
20	NA	NA	AT5G58070
