p.value	enrichment	genes
1	2.40013958168482e-09	2.30757249739	AT1G04690
2	NA	NA	AT1G09350
3	NA	NA	AT1G10090
4	NA	NA	AT1G12990
5	NA	NA	AT1G20440
6	NA	NA	AT1G20696
7	NA	NA	AT1G21380
8	NA	NA	AT1G22770
9	NA	NA	AT1G26800
10	NA	NA	AT1G31330
11	NA	NA	AT1G56600
12	NA	NA	AT1G67510
13	NA	NA	AT1G70420
14	NA	NA	AT1G76180
15	NA	NA	AT2G16365
16	NA	NA	AT2G18350
17	NA	NA	AT2G20515
18	NA	NA	AT2G21660
19	NA	NA	AT2G22430
20	NA	NA	AT2G30600
21	NA	NA	AT2G36410
22	NA	NA	AT2G38465
23	NA	NA	AT2G42790
24	NA	NA	AT2G44490
25	NA	NA	AT2G45590
26	NA	NA	AT2G46620
27	NA	NA	AT3G05220
28	NA	NA	AT3G05640
29	NA	NA	AT3G05880
30	NA	NA	AT3G06500
31	NA	NA	AT3G09000
32	NA	NA	AT3G18080
33	NA	NA	AT3G19590
34	NA	NA	AT3G53990
35	NA	NA	AT3G57870
36	NA	NA	AT3G62630
37	NA	NA	AT4G04330
38	NA	NA	AT4G29190
39	NA	NA	AT4G31550
40	NA	NA	AT4G33980
41	NA	NA	AT4G34120
42	NA	NA	AT4G35790
43	NA	NA	AT4G36010
44	NA	NA	AT4G39090
45	NA	NA	AT5G08330
46	NA	NA	AT5G11740
47	NA	NA	AT5G14920
48	NA	NA	AT5G24470
49	NA	NA	AT5G39570
50	NA	NA	AT5G47060
51	NA	NA	AT5G48250
52	NA	NA	AT5G49760
53	NA	NA	AT5G51840
54	NA	NA	AT5G55180
55	NA	NA	AT5G58070
56	NA	NA	AT5G58600
57	NA	NA	AT5G65310
58	NA	NA	AT5G66880
59	NA	NA	AT5G67560
