p.value	enrichment	genes
1	9.85088864899876e-09	1.91801749165697	AT1G03600
2	NA	NA	AT1G04530
3	NA	NA	AT1G06040
4	NA	NA	AT1G07180
5	NA	NA	AT1G08130
6	NA	NA	AT1G11820
7	NA	NA	AT1G15820
8	NA	NA	AT1G18330
9	NA	NA	AT1G18740
10	NA	NA	AT1G20070
11	NA	NA	AT1G20650
12	NA	NA	AT1G21080
13	NA	NA	AT1G30690
14	NA	NA	AT1G51680
15	NA	NA	AT1G54100
16	NA	NA	AT1G54130
17	NA	NA	AT1G59740
18	NA	NA	AT1G62380
19	NA	NA	AT1G64970
20	NA	NA	AT1G70210
21	NA	NA	AT1G70610
22	NA	NA	AT1G74790
23	NA	NA	AT2G01890
24	NA	NA	AT2G02080
25	NA	NA	AT2G16430
26	NA	NA	AT2G28800
27	NA	NA	AT2G29670
28	NA	NA	AT2G41870
29	NA	NA	AT2G42190
30	NA	NA	AT2G43010
31	NA	NA	AT2G44940
32	NA	NA	AT2G45600
33	NA	NA	AT2G46680
34	NA	NA	AT2G46710
35	NA	NA	AT2G47180
36	NA	NA	AT3G07360
37	NA	NA	AT3G11670
38	NA	NA	AT3G12110
39	NA	NA	AT3G12600
40	NA	NA	AT3G13310
41	NA	NA	AT3G15350
42	NA	NA	AT3G19840
43	NA	NA	AT3G45780
44	NA	NA	AT3G47470
45	NA	NA	AT3G48610
46	NA	NA	AT3G50340
47	NA	NA	AT3G54810
48	NA	NA	AT3G59940
49	NA	NA	AT3G61130
50	NA	NA	AT4G02280
51	NA	NA	AT4G14150
52	NA	NA	AT4G22010
53	NA	NA	AT4G23050
54	NA	NA	AT4G25630
55	NA	NA	AT4G30960
56	NA	NA	AT4G32020
57	NA	NA	AT4G34050
58	NA	NA	AT4G34740
59	NA	NA	AT4G35250
60	NA	NA	AT4G36220
61	NA	NA	AT4G36380
62	NA	NA	AT4G37180
63	NA	NA	AT5G01520
64	NA	NA	AT5G04490
65	NA	NA	AT5G04590
66	NA	NA	AT5G09810
67	NA	NA	AT5G11700
68	NA	NA	AT5G11790
69	NA	NA	AT5G14640
70	NA	NA	AT5G19040
71	NA	NA	AT5G24030
72	NA	NA	AT5G24380
73	NA	NA	AT5G40390
74	NA	NA	AT5G47040
75	NA	NA	AT5G48930
76	NA	NA	AT5G54470
77	NA	NA	AT5G57040
78	NA	NA	AT5G57610
79	NA	NA	AT5G60790
80	NA	NA	AT5G62170
81	NA	NA	AT5G63130
82	NA	NA	AT5G67280
