p.value	enrichment	genes
212	NA	NA	AT3G50740
213	NA	NA	AT3G51950
214	NA	NA	AT3G54920
215	NA	NA	AT3G55430
216	NA	NA	AT3G55560
217	NA	NA	AT3G55980
218	NA	NA	AT3G56200
219	NA	NA	AT3G56290
220	NA	NA	AT3G56360
221	NA	NA	AT3G57040
222	NA	NA	AT3G57530
223	NA	NA	AT3G57800
224	NA	NA	AT3G58620
225	NA	NA	AT3G59080
226	NA	NA	AT3G61060
227	NA	NA	AT3G61580
228	NA	NA	AT3G61600
229	NA	NA	AT3G61630
230	NA	NA	AT3G62720
231	NA	NA	AT3G63010
232	NA	NA	AT4G00710
233	NA	NA	AT4G01720
234	NA	NA	AT4G01840
235	NA	NA	AT4G04630
236	NA	NA	AT4G08930
237	NA	NA	AT4G08950
238	NA	NA	AT4G09890
239	NA	NA	AT4G11330
240	NA	NA	AT4G12420
241	NA	NA	AT4G12690
242	NA	NA	AT4G16780
243	NA	NA	AT4G17080
244	NA	NA	AT4G18710
245	NA	NA	AT4G19140
246	NA	NA	AT4G21790
247	NA	NA	AT4G25620
248	NA	NA	AT4G27260
249	NA	NA	AT4G27657
250	NA	NA	AT4G27940
251	NA	NA	AT4G28260
252	NA	NA	AT4G29950
253	NA	NA	AT4G30210
254	NA	NA	AT4G30270
255	NA	NA	AT4G32030
256	NA	NA	AT4G32300
257	NA	NA	AT4G33666
258	NA	NA	AT4G33770
259	NA	NA	AT4G34000
260	NA	NA	AT4G34150
261	NA	NA	AT4G34540
262	NA	NA	AT4G35470
263	NA	NA	AT4G35770
264	NA	NA	AT4G37300
265	NA	NA	AT4G38470
266	NA	NA	AT4G38860
267	NA	NA	AT4G39400
268	NA	NA	AT4G39640
269	NA	NA	AT5G01810
270	NA	NA	AT5G01820
271	NA	NA	AT5G02840
272	NA	NA	AT5G03130
273	NA	NA	AT5G03520
274	NA	NA	AT5G04040
275	NA	NA	AT5G05140
276	NA	NA	AT5G05440
277	NA	NA	AT5G06980
278	NA	NA	AT5G07270
279	NA	NA	AT5G07300
280	NA	NA	AT5G10450
281	NA	NA	AT5G11650
282	NA	NA	AT5G12440
283	NA	NA	AT5G13100
284	NA	NA	AT5G13760
285	NA	NA	AT5G14730
