p.value	enrichment	genes
1	1.17886842257533e-22	5.21979140930754	AT1G07420
2	NA	NA	AT1G10090
3	NA	NA	AT1G10760
4	NA	NA	AT1G11210
5	NA	NA	AT1G12710
6	NA	NA	AT1G20696
7	NA	NA	AT1G21680
8	NA	NA	AT1G22770
9	NA	NA	AT1G28050
10	NA	NA	AT1G68050
11	NA	NA	AT1G68500
12	NA	NA	AT1G70420
13	NA	NA	AT1G78380
14	NA	NA	AT1G78600
15	NA	NA	AT2G15890
16	NA	NA	AT2G16365
17	NA	NA	AT2G17840
18	NA	NA	AT2G21660
19	NA	NA	AT2G36410
20	NA	NA	AT2G38670
21	NA	NA	AT2G45590
22	NA	NA	AT2G46060
23	NA	NA	AT3G05220
24	NA	NA	AT3G17020
25	NA	NA	AT3G18080
26	NA	NA	AT3G27210
27	NA	NA	AT3G47160
28	NA	NA	AT3G51400
29	NA	NA	AT3G51660
30	NA	NA	AT3G60380
31	NA	NA	AT4G01026
32	NA	NA	AT4G04330
33	NA	NA	AT4G11600
34	NA	NA	AT4G14230
35	NA	NA	AT4G16146
36	NA	NA	AT4G25480
37	NA	NA	AT4G27820
38	NA	NA	AT4G32340
39	NA	NA	AT4G33980
40	NA	NA	AT4G39090
41	NA	NA	AT4G39260
42	NA	NA	AT5G05410
43	NA	NA	AT5G08330
44	NA	NA	AT5G24470
45	NA	NA	AT5G42900
46	NA	NA	AT5G48250
47	NA	NA	AT5G57630
48	NA	NA	AT5G58070
49	NA	NA	AT5G62360
50	NA	NA	AT5G63810
