p.value	enrichment	genes
1	1.06214706429326e-21	2.59498201491289	AT1G01500
2	NA	NA	AT1G04690
3	NA	NA	AT1G07420
4	NA	NA	AT1G09350
5	NA	NA	AT1G10090
6	NA	NA	AT1G11210
7	NA	NA	AT1G12710
8	NA	NA	AT1G12990
9	NA	NA	AT1G16850
10	NA	NA	AT1G19310
11	NA	NA	AT1G20440
12	NA	NA	AT1G20450
13	NA	NA	AT1G20696
14	NA	NA	AT1G21380
15	NA	NA	AT1G21680
16	NA	NA	AT1G22300
17	NA	NA	AT1G22770
18	NA	NA	AT1G26800
19	NA	NA	AT1G29395
20	NA	NA	AT1G56600
21	NA	NA	AT1G58270
22	NA	NA	AT1G59870
23	NA	NA	AT1G66890
24	NA	NA	AT1G67510
25	NA	NA	AT1G70420
26	NA	NA	AT1G76180
27	NA	NA	AT1G77000
28	NA	NA	AT1G78070
29	NA	NA	AT1G78380
30	NA	NA	AT2G15970
31	NA	NA	AT2G16365
32	NA	NA	AT2G17840
33	NA	NA	AT2G18170
34	NA	NA	AT2G18350
35	NA	NA	AT2G18670
36	NA	NA	AT2G20515
37	NA	NA	AT2G21660
38	NA	NA	AT2G22430
39	NA	NA	AT2G22840
40	NA	NA	AT2G25250
41	NA	NA	AT2G25450
42	NA	NA	AT2G30600
43	NA	NA	AT2G36410
44	NA	NA	AT2G38000
45	NA	NA	AT2G38465
46	NA	NA	AT2G42790
47	NA	NA	AT2G44490
48	NA	NA	AT2G45590
49	NA	NA	AT2G46620
50	NA	NA	AT3G01960
51	NA	NA	AT3G05130
52	NA	NA	AT3G05220
53	NA	NA	AT3G05640
54	NA	NA	AT3G05880
55	NA	NA	AT3G06500
56	NA	NA	AT3G09000
57	NA	NA	AT3G11850
58	NA	NA	AT3G12700
59	NA	NA	AT3G17020
60	NA	NA	AT3G18080
61	NA	NA	AT3G19590
62	NA	NA	AT3G22370
63	NA	NA	AT3G27210
64	NA	NA	AT3G45600
65	NA	NA	AT3G46010
66	NA	NA	AT3G50260
67	NA	NA	AT3G50660
68	NA	NA	AT3G51400
69	NA	NA	AT3G51660
70	NA	NA	AT3G53990
71	NA	NA	AT3G57870
72	NA	NA	AT3G62630
73	NA	NA	AT3G63210
74	NA	NA	AT4G04330
75	NA	NA	AT4G05180
76	NA	NA	AT4G11600
77	NA	NA	AT4G22250
78	NA	NA	AT4G30660
79	NA	NA	AT4G31550
80	NA	NA	AT4G33490
81	NA	NA	AT4G33980
82	NA	NA	AT4G34120
83	NA	NA	AT4G35790
84	NA	NA	AT4G36010
85	NA	NA	AT4G39090
86	NA	NA	AT4G39260
87	NA	NA	AT5G01210
88	NA	NA	AT5G01950
89	NA	NA	AT5G01990
90	NA	NA	AT5G05410
91	NA	NA	AT5G08330
92	NA	NA	AT5G11670
93	NA	NA	AT5G11740
94	NA	NA	AT5G13200
95	NA	NA	AT5G14920
96	NA	NA	AT5G24470
97	NA	NA	AT5G26340
98	NA	NA	AT5G35735
99	NA	NA	AT5G39570
100	NA	NA	AT5G39760
101	NA	NA	AT5G41600
102	NA	NA	AT5G47060
103	NA	NA	AT5G48250
104	NA	NA	AT5G49760
105	NA	NA	AT5G51840
106	NA	NA	AT5G55180
107	NA	NA	AT5G57410
108	NA	NA	AT5G57630
109	NA	NA	AT5G58070
110	NA	NA	AT5G58600
111	NA	NA	AT5G62350
112	NA	NA	AT5G63800
113	NA	NA	AT5G65020
114	NA	NA	AT5G65310
115	NA	NA	AT5G66880
116	NA	NA	AT5G67560
