p.value	enrichment	genes
1	1.01646766708032e-33	2.64986328596714	AT1G01060
2	NA	NA	AT1G01490
3	NA	NA	AT1G01720
4	NA	NA	AT1G06410
5	NA	NA	AT1G06570
6	NA	NA	AT1G09070
7	NA	NA	AT1G11260
8	NA	NA	AT1G12500
9	NA	NA	AT1G13080
10	NA	NA	AT1G13260
11	NA	NA	AT1G13640
12	NA	NA	AT1G14740
13	NA	NA	AT1G18620
14	NA	NA	AT1G19110
15	NA	NA	AT1G19770
16	NA	NA	AT1G21050
17	NA	NA	AT1G21980
18	NA	NA	AT1G22930
19	NA	NA	AT1G23050
20	NA	NA	AT1G23710
21	NA	NA	AT1G23870
22	NA	NA	AT1G25560
23	NA	NA	AT1G27050
24	NA	NA	AT1G30110
25	NA	NA	AT1G30570
26	NA	NA	AT1G35510
27	NA	NA	AT1G36050
28	NA	NA	AT1G44446
29	NA	NA	AT1G48260
30	NA	NA	AT1G49200
31	NA	NA	AT1G49500
32	NA	NA	AT1G49730
33	NA	NA	AT1G56590
34	NA	NA	AT1G57680
35	NA	NA	AT1G60010
36	NA	NA	AT1G63690
37	NA	NA	AT1G65590
38	NA	NA	AT1G65930
39	NA	NA	AT1G66160
40	NA	NA	AT1G68440
41	NA	NA	AT1G69570
42	NA	NA	AT1G69800
43	NA	NA	AT1G70090
44	NA	NA	AT1G71340
45	NA	NA	AT1G72820
46	NA	NA	AT1G73670
47	NA	NA	AT1G76600
48	NA	NA	AT1G77640
49	NA	NA	AT1G79630
50	NA	NA	AT2G01140
51	NA	NA	AT2G01850
52	NA	NA	AT2G02710
53	NA	NA	AT2G03730
54	NA	NA	AT2G05790
55	NA	NA	AT2G06850
56	NA	NA	AT2G18090
57	NA	NA	AT2G18300
58	NA	NA	AT2G18700
59	NA	NA	AT2G20670
60	NA	NA	AT2G21120
61	NA	NA	AT2G23460
62	NA	NA	AT2G23810
63	NA	NA	AT2G24550
64	NA	NA	AT2G27500
65	NA	NA	AT2G28110
66	NA	NA	AT2G31820
67	NA	NA	AT2G33310
68	NA	NA	AT2G39570
69	NA	NA	AT2G39660
70	NA	NA	AT2G40000
71	NA	NA	AT2G40970
72	NA	NA	AT2G41290
73	NA	NA	AT2G41630
74	NA	NA	AT2G42870
75	NA	NA	AT2G43060
76	NA	NA	AT2G43680
77	NA	NA	AT2G44920
78	NA	NA	AT2G45880
79	NA	NA	AT2G46220
80	NA	NA	AT2G46450
81	NA	NA	AT2G46830
82	NA	NA	AT2G47940
83	NA	NA	AT3G01560
84	NA	NA	AT3G02140
85	NA	NA	AT3G15450
86	NA	NA	AT3G16240
87	NA	NA	AT3G16620
88	NA	NA	AT3G16800
89	NA	NA	AT3G16830
90	NA	NA	AT3G16850
91	NA	NA	AT3G19850
92	NA	NA	AT3G23030
93	NA	NA	AT3G24550
94	NA	NA	AT3G24670
95	NA	NA	AT3G26510
96	NA	NA	AT3G26810
97	NA	NA	AT3G29240
98	NA	NA	AT3G30775
99	NA	NA	AT3G44380
100	NA	NA	AT3G44720
101	NA	NA	AT3G45730
102	NA	NA	AT3G46600
103	NA	NA	AT3G47340
104	NA	NA	AT3G47420
105	NA	NA	AT3G50740
106	NA	NA	AT3G52060
107	NA	NA	AT3G52450
108	NA	NA	AT3G54500
109	NA	NA	AT3G55430
110	NA	NA	AT3G55560
111	NA	NA	AT3G55980
112	NA	NA	AT3G57410
113	NA	NA	AT3G57880
114	NA	NA	AT3G61440
115	NA	NA	AT3G61600
116	NA	NA	AT3G62720
117	NA	NA	AT3G62980
118	NA	NA	AT3G63260
119	NA	NA	AT4G00710
120	NA	NA	AT4G01720
121	NA	NA	AT4G04630
122	NA	NA	AT4G08980
123	NA	NA	AT4G09890
124	NA	NA	AT4G11330
125	NA	NA	AT4G12420
126	NA	NA	AT4G17080
127	NA	NA	AT4G18140
128	NA	NA	AT4G18710
129	NA	NA	AT4G21510
130	NA	NA	AT4G25080
131	NA	NA	AT4G25700
132	NA	NA	AT4G28240
133	NA	NA	AT4G30210
134	NA	NA	AT4G32300
135	NA	NA	AT4G33240
136	NA	NA	AT4G34540
137	NA	NA	AT4G36860
138	NA	NA	AT4G38060
139	NA	NA	AT4G38470
140	NA	NA	AT5G01340
141	NA	NA	AT5G03520
142	NA	NA	AT5G04040
143	NA	NA	AT5G05440
144	NA	NA	AT5G05690
145	NA	NA	AT5G06980
146	NA	NA	AT5G10450
147	NA	NA	AT5G16830
148	NA	NA	AT5G18630
149	NA	NA	AT5G24870
150	NA	NA	AT5G24890
151	NA	NA	AT5G24930
152	NA	NA	AT5G27350
153	NA	NA	AT5G28050
154	NA	NA	AT5G28770
155	NA	NA	AT5G41080
156	NA	NA	AT5G48540
157	NA	NA	AT5G49170
158	NA	NA	AT5G49480
159	NA	NA	AT5G51460
160	NA	NA	AT5G52570
161	NA	NA	AT5G53160
162	NA	NA	AT5G54080
163	NA	NA	AT5G54380
164	NA	NA	AT5G58430
165	NA	NA	AT5G58650
166	NA	NA	AT5G59150
167	NA	NA	AT5G61670
168	NA	NA	AT5G62130
169	NA	NA	AT5G64410
