p.value	enrichment	genes
1	9.88274954256346e-68	8.78273273651516	AT1G01060
2	NA	NA	AT1G01540
3	NA	NA	AT1G01550
4	NA	NA	AT1G06410
5	NA	NA	AT1G09070
6	NA	NA	AT1G09390
7	NA	NA	AT1G11260
8	NA	NA	AT1G13260
9	NA	NA	AT1G19770
10	NA	NA	AT1G21010
11	NA	NA	AT1G22190
12	NA	NA	AT1G23710
13	NA	NA	AT1G25550
14	NA	NA	AT1G25560
15	NA	NA	AT1G28130
16	NA	NA	AT1G37130
17	NA	NA	AT1G45688
18	NA	NA	AT1G49500
19	NA	NA	AT1G53560
20	NA	NA	AT1G57680
21	NA	NA	AT1G66160
22	NA	NA	AT1G66180
23	NA	NA	AT1G68670
24	NA	NA	AT1G68840
25	NA	NA	AT1G72820
26	NA	NA	AT1G73670
27	NA	NA	AT1G74450
28	NA	NA	AT1G76600
29	NA	NA	AT1G76990
30	NA	NA	AT1G77760
31	NA	NA	AT1G80440
32	NA	NA	AT2G01590
33	NA	NA	AT2G01850
34	NA	NA	AT2G18090
35	NA	NA	AT2G20670
36	NA	NA	AT2G24790
37	NA	NA	AT2G27500
38	NA	NA	AT2G30040
39	NA	NA	AT2G30490
40	NA	NA	AT2G36950
41	NA	NA	AT2G38310
42	NA	NA	AT2G40000
43	NA	NA	AT3G01560
44	NA	NA	AT3G01820
45	NA	NA	AT3G11700
46	NA	NA	AT3G14990
47	NA	NA	AT3G15450
48	NA	NA	AT3G19580
49	NA	NA	AT3G23030
50	NA	NA	AT3G24550
51	NA	NA	AT3G26810
52	NA	NA	AT3G49790
53	NA	NA	AT3G52060
54	NA	NA	AT3G53420
55	NA	NA	AT3G55430
56	NA	NA	AT3G55960
57	NA	NA	AT3G55980
58	NA	NA	AT3G61580
59	NA	NA	AT3G62980
60	NA	NA	AT3G63010
61	NA	NA	AT4G00730
62	NA	NA	AT4G01250
63	NA	NA	AT4G08950
64	NA	NA	AT4G25470
65	NA	NA	AT4G27657
66	NA	NA	AT4G27940
67	NA	NA	AT4G28240
68	NA	NA	AT4G30210
69	NA	NA	AT4G30270
70	NA	NA	AT4G32030
71	NA	NA	AT4G34150
72	NA	NA	AT4G37540
73	NA	NA	AT4G39400
74	NA	NA	AT5G01350
75	NA	NA	AT5G03140
76	NA	NA	AT5G05440
77	NA	NA	AT5G11090
78	NA	NA	AT5G13100
79	NA	NA	AT5G13760
80	NA	NA	AT5G18630
81	NA	NA	AT5G19120
82	NA	NA	AT5G20250
83	NA	NA	AT5G22940
84	NA	NA	AT5G24870
85	NA	NA	AT5G25280
86	NA	NA	AT5G27350
87	NA	NA	AT5G40250
88	NA	NA	AT5G41080
89	NA	NA	AT5G42100
90	NA	NA	AT5G49480
91	NA	NA	AT5G51460
92	NA	NA	AT5G54380
93	NA	NA	AT5G56980
94	NA	NA	AT5G57560
95	NA	NA	AT5G58650
96	NA	NA	AT5G58720
97	NA	NA	AT5G59730
98	NA	NA	AT5G60680
99	NA	NA	AT5G65430
100	NA	NA	AT5G67420
