p.value	enrichment	genes
1	1.55458754452689e-07	4.83724824977007	AT1G03130
2	NA	NA	AT1G15820
3	NA	NA	AT1G18330
4	NA	NA	AT1G19050
5	NA	NA	AT2G30570
6	NA	NA	AT2G46680
7	NA	NA	AT3G08940
8	NA	NA	AT3G22840
9	NA	NA	AT3G47470
10	NA	NA	AT4G36040
11	NA	NA	AT5G04200
12	NA	NA	AT5G13630
13	NA	NA	AT5G28030
14	NA	NA	AT5G54270
15	NA	NA	AT5G57180
