p.value	enrichment	genes
1	3.00576833855689e-11	4.3915080252372	AT1G01470
2	NA	NA	AT1G12990
3	NA	NA	AT1G20440
4	NA	NA	AT1G20450
5	NA	NA	AT1G59870
6	NA	NA	AT1G76180
7	NA	NA	AT1G78070
8	NA	NA	AT2G15970
9	NA	NA	AT2G17840
10	NA	NA	AT2G25250
11	NA	NA	AT2G25450
12	NA	NA	AT2G36410
13	NA	NA	AT3G06500
14	NA	NA	AT3G10300
15	NA	NA	AT3G57870
16	NA	NA	AT4G31550
17	NA	NA	AT4G36010
18	NA	NA	AT5G01950
19	NA	NA	AT5G05410
20	NA	NA	AT5G11740
21	NA	NA	AT5G13200
22	NA	NA	AT5G24470
23	NA	NA	AT5G35735
24	NA	NA	AT5G41600
25	NA	NA	AT5G48250
26	NA	NA	AT5G58070
27	NA	NA	AT5G62350
28	NA	NA	AT5G66880
29	NA	NA	AT5G67560
