p.value	enrichment	genes
1	3.48366012562439e-07	2.16303361187743	AT1G01310
2	NA	NA	AT1G02500
3	NA	NA	AT1G04400
4	NA	NA	AT1G07520
5	NA	NA	AT1G09960
6	NA	NA	AT1G17060
7	NA	NA	AT1G17090
8	NA	NA	AT1G17360
9	NA	NA	AT1G28580
10	NA	NA	AT1G32060
11	NA	NA	AT1G33060
12	NA	NA	AT1G56220
13	NA	NA	AT1G58110
14	NA	NA	AT1G64380
15	NA	NA	AT1G64610
16	NA	NA	AT1G76160
17	NA	NA	AT1G76890
18	NA	NA	AT2G30530
19	NA	NA	AT2G36080
20	NA	NA	AT2G47010
21	NA	NA	AT3G01480
22	NA	NA	AT3G02990
23	NA	NA	AT3G04670
24	NA	NA	AT3G06410
25	NA	NA	AT3G06510
26	NA	NA	AT3G07650
27	NA	NA	AT3G14100
28	NA	NA	AT3G15630
29	NA	NA	AT3G47610
30	NA	NA	AT3G48360
31	NA	NA	AT3G49590
32	NA	NA	AT3G51370
33	NA	NA	AT3G60030
34	NA	NA	AT3G60130
35	NA	NA	AT3G61160
36	NA	NA	AT3G61260
37	NA	NA	AT4G03260
38	NA	NA	AT4G19860
39	NA	NA	AT4G23060
40	NA	NA	AT4G24240
41	NA	NA	AT4G32060
42	NA	NA	AT4G33150
43	NA	NA	AT4G36540
44	NA	NA	AT4G38430
45	NA	NA	AT5G04770
46	NA	NA	AT5G11260
47	NA	NA	AT5G37260
48	NA	NA	AT5G55530
49	NA	NA	AT5G61590
