p.value	enrichment	genes
212	NA	NA	AT3G61630
213	NA	NA	AT3G62720
214	NA	NA	AT3G62980
215	NA	NA	AT3G63010
216	NA	NA	AT3G63500
217	NA	NA	AT4G00710
218	NA	NA	AT4G00720
219	NA	NA	AT4G00730
220	NA	NA	AT4G00830
221	NA	NA	AT4G01250
222	NA	NA	AT4G01950
223	NA	NA	AT4G02940
224	NA	NA	AT4G08950
225	NA	NA	AT4G11330
226	NA	NA	AT4G13180
227	NA	NA	AT4G14900
228	NA	NA	AT4G16780
229	NA	NA	AT4G17530
230	NA	NA	AT4G18700
231	NA	NA	AT4G18710
232	NA	NA	AT4G19200
233	NA	NA	AT4G19420
234	NA	NA	AT4G22920
235	NA	NA	AT4G25390
236	NA	NA	AT4G25470
237	NA	NA	AT4G25570
238	NA	NA	AT4G25620
239	NA	NA	AT4G25700
240	NA	NA	AT4G27657
241	NA	NA	AT4G27780
242	NA	NA	AT4G27940
243	NA	NA	AT4G28240
244	NA	NA	AT4G28290
245	NA	NA	AT4G30210
246	NA	NA	AT4G32030
247	NA	NA	AT4G32300
248	NA	NA	AT4G33666
249	NA	NA	AT4G34000
250	NA	NA	AT4G34150
251	NA	NA	AT4G35090
252	NA	NA	AT4G35470
253	NA	NA	AT4G35780
254	NA	NA	AT4G36030
255	NA	NA	AT4G36860
256	NA	NA	AT4G37330
257	NA	NA	AT4G37460
258	NA	NA	AT4G37540
259	NA	NA	AT4G37610
260	NA	NA	AT4G38060
261	NA	NA	AT4G38470
262	NA	NA	AT4G38670
263	NA	NA	AT4G38700
264	NA	NA	AT4G38840
265	NA	NA	AT4G39100
266	NA	NA	AT4G39400
267	NA	NA	AT4G39640
268	NA	NA	AT5G01350
269	NA	NA	AT5G01810
270	NA	NA	AT5G03140
271	NA	NA	AT5G04760
272	NA	NA	AT5G05140
273	NA	NA	AT5G05440
274	NA	NA	AT5G06980
275	NA	NA	AT5G09760
276	NA	NA	AT5G10450
277	NA	NA	AT5G11090
278	NA	NA	AT5G11650
279	NA	NA	AT5G12050
280	NA	NA	AT5G13100
281	NA	NA	AT5G13760
282	NA	NA	AT5G13770
283	NA	NA	AT5G14740
284	NA	NA	AT5G16830
285	NA	NA	AT5G17230
286	NA	NA	AT5G18630
287	NA	NA	AT5G18650
288	NA	NA	AT5G19120
289	NA	NA	AT5G19150
290	NA	NA	AT5G19200
291	NA	NA	AT5G20110
292	NA	NA	AT5G20250
293	NA	NA	AT5G22940
294	NA	NA	AT5G23340
295	NA	NA	AT5G24870
296	NA	NA	AT5G24890
297	NA	NA	AT5G24930
298	NA	NA	AT5G25280
299	NA	NA	AT5G25460
300	NA	NA	AT5G27350
301	NA	NA	AT5G40250
302	NA	NA	AT5G40890
303	NA	NA	AT5G41080
304	NA	NA	AT5G42100
305	NA	NA	AT5G45410
306	NA	NA	AT5G47180
307	NA	NA	AT5G48540
308	NA	NA	AT5G49100
309	NA	NA	AT5G49360
310	NA	NA	AT5G49480
311	NA	NA	AT5G49710
312	NA	NA	AT5G51460
313	NA	NA	AT5G52570
314	NA	NA	AT5G54300
315	NA	NA	AT5G54380
316	NA	NA	AT5G56980
317	NA	NA	AT5G57490
318	NA	NA	AT5G57560
319	NA	NA	AT5G58430
320	NA	NA	AT5G58650
321	NA	NA	AT5G58720
322	NA	NA	AT5G59730
323	NA	NA	AT5G60680
324	NA	NA	AT5G61670
325	NA	NA	AT5G64410
326	NA	NA	AT5G64840
327	NA	NA	AT5G65380
328	NA	NA	AT5G65430
329	NA	NA	AT5G65660
330	NA	NA	AT5G66590
331	NA	NA	AT5G67370
332	NA	NA	AT5G67420
