p.value	enrichment	genes
1	3.98833689356216e-10	2.61499558007348	AT1G01310
2	NA	NA	AT1G04400
3	NA	NA	AT1G10470
4	NA	NA	AT1G22430
5	NA	NA	AT1G28580
6	NA	NA	AT1G33060
7	NA	NA	AT1G51070
8	NA	NA	AT1G56220
9	NA	NA	AT1G64380
10	NA	NA	AT1G64610
11	NA	NA	AT1G69850
12	NA	NA	AT1G69890
13	NA	NA	AT1G73970
14	NA	NA	AT1G76160
15	NA	NA	AT1G76890
16	NA	NA	AT1G80380
17	NA	NA	AT2G16380
18	NA	NA	AT2G17710
19	NA	NA	AT2G30530
20	NA	NA	AT2G38800
21	NA	NA	AT2G47010
22	NA	NA	AT3G02990
23	NA	NA	AT3G09690
24	NA	NA	AT3G14100
25	NA	NA	AT3G15630
26	NA	NA	AT3G25070
27	NA	NA	AT3G47610
28	NA	NA	AT3G48360
29	NA	NA	AT3G49590
30	NA	NA	AT3G51370
31	NA	NA	AT3G56000
32	NA	NA	AT3G60130
33	NA	NA	AT3G61160
34	NA	NA	AT3G61260
35	NA	NA	AT4G09460
36	NA	NA	AT4G24240
37	NA	NA	AT4G32060
38	NA	NA	AT4G33150
39	NA	NA	AT4G36540
40	NA	NA	AT4G37240
41	NA	NA	AT4G38430
42	NA	NA	AT5G06570
43	NA	NA	AT5G06790
44	NA	NA	AT5G11260
45	NA	NA	AT5G26820
46	NA	NA	AT5G37260
47	NA	NA	AT5G52430
48	NA	NA	AT5G55530
49	NA	NA	AT5G60270
50	NA	NA	AT5G61440
51	NA	NA	AT5G65110
