p.value	enrichment	genes
1	1.16195119567276e-07	2.28002979871267	AT1G03600
2	NA	NA	AT1G04530
3	NA	NA	AT1G15820
4	NA	NA	AT1G18330
5	NA	NA	AT1G18740
6	NA	NA	AT1G20650
7	NA	NA	AT1G21080
8	NA	NA	AT1G26920
9	NA	NA	AT1G30690
10	NA	NA	AT1G51680
11	NA	NA	AT1G54100
12	NA	NA	AT1G54130
13	NA	NA	AT1G70210
14	NA	NA	AT1G72450
15	NA	NA	AT1G74790
16	NA	NA	AT2G01890
17	NA	NA	AT2G02080
18	NA	NA	AT2G41870
19	NA	NA	AT2G42190
20	NA	NA	AT2G43010
21	NA	NA	AT2G45600
22	NA	NA	AT2G46680
23	NA	NA	AT2G47180
24	NA	NA	AT3G07360
25	NA	NA	AT3G11670
26	NA	NA	AT3G12600
27	NA	NA	AT3G13310
28	NA	NA	AT3G15350
29	NA	NA	AT3G54810
30	NA	NA	AT3G59060
31	NA	NA	AT3G59940
32	NA	NA	AT4G02280
33	NA	NA	AT4G23050
34	NA	NA	AT4G30960
35	NA	NA	AT4G32020
36	NA	NA	AT5G01520
37	NA	NA	AT5G04590
38	NA	NA	AT5G09810
39	NA	NA	AT5G11700
40	NA	NA	AT5G14640
41	NA	NA	AT5G19040
42	NA	NA	AT5G24380
43	NA	NA	AT5G40390
44	NA	NA	AT5G47040
45	NA	NA	AT5G48930
46	NA	NA	AT5G54470
47	NA	NA	AT5G57040
48	NA	NA	AT5G63130
