p.value	enrichment	genes
1	1.73622162187766e-74	4.40067257513071	AT1G01060
2	NA	NA	AT1G01430
3	NA	NA	AT1G01490
4	NA	NA	AT1G01550
5	NA	NA	AT1G01720
6	NA	NA	AT1G02816
7	NA	NA	AT1G03610
8	NA	NA	AT1G03870
9	NA	NA	AT1G04240
10	NA	NA	AT1G05000
11	NA	NA	AT1G06410
12	NA	NA	AT1G06570
13	NA	NA	AT1G08570
14	NA	NA	AT1G09570
15	NA	NA	AT1G09940
16	NA	NA	AT1G13260
17	NA	NA	AT1G15750
18	NA	NA	AT1G19000
19	NA	NA	AT1G19110
20	NA	NA	AT1G22190
21	NA	NA	AT1G22330
22	NA	NA	AT1G22640
23	NA	NA	AT1G23710
24	NA	NA	AT1G24170
25	NA	NA	AT1G25550
26	NA	NA	AT1G25560
27	NA	NA	AT1G27050
28	NA	NA	AT1G27290
29	NA	NA	AT1G30110
30	NA	NA	AT1G32460
31	NA	NA	AT1G33240
32	NA	NA	AT1G35510
33	NA	NA	AT1G37130
34	NA	NA	AT1G49480
35	NA	NA	AT1G49500
36	NA	NA	AT1G49730
37	NA	NA	AT1G54740
38	NA	NA	AT1G55810
39	NA	NA	AT1G57680
40	NA	NA	AT1G58290
41	NA	NA	AT1G66150
42	NA	NA	AT1G66160
43	NA	NA	AT1G66180
44	NA	NA	AT1G68020
45	NA	NA	AT1G68440
46	NA	NA	AT1G68670
47	NA	NA	AT1G68840
48	NA	NA	AT1G69270
49	NA	NA	AT1G69570
50	NA	NA	AT1G70940
51	NA	NA	AT1G72750
52	NA	NA	AT1G72820
53	NA	NA	AT1G73540
54	NA	NA	AT1G73670
55	NA	NA	AT1G73830
56	NA	NA	AT1G75170
57	NA	NA	AT1G75180
58	NA	NA	AT1G76990
59	NA	NA	AT1G79420
60	NA	NA	AT2G01140
61	NA	NA	AT2G01850
62	NA	NA	AT2G02180
63	NA	NA	AT2G18090
64	NA	NA	AT2G23460
65	NA	NA	AT2G24100
