p.value	enrichment	genes
1	5.1292660879125e-86	2.10102146740592	AT1G01060
2	NA	NA	AT1G01430
3	NA	NA	AT1G01490
4	NA	NA	AT1G01540
5	NA	NA	AT1G01620
6	NA	NA	AT1G01720
7	NA	NA	AT1G02110
8	NA	NA	AT1G02640
9	NA	NA	AT1G02816
10	NA	NA	AT1G03090
11	NA	NA	AT1G03457
12	NA	NA	AT1G03590
13	NA	NA	AT1G03610
14	NA	NA	AT1G03870
15	NA	NA	AT1G04240
16	NA	NA	AT1G04310
17	NA	NA	AT1G05000
18	NA	NA	AT1G06390
19	NA	NA	AT1G06410
20	NA	NA	AT1G06570
21	NA	NA	AT1G08180
22	NA	NA	AT1G08570
23	NA	NA	AT1G08770
24	NA	NA	AT1G09070
25	NA	NA	AT1G09390
26	NA	NA	AT1G09570
27	NA	NA	AT1G09940
28	NA	NA	AT1G10020
29	NA	NA	AT1G10170
30	NA	NA	AT1G10360
31	NA	NA	AT1G10740
32	NA	NA	AT1G11260
33	NA	NA	AT1G12080
34	NA	NA	AT1G12240
35	NA	NA	AT1G12500
36	NA	NA	AT1G12580
37	NA	NA	AT1G12820
38	NA	NA	AT1G13080
39	NA	NA	AT1G13260
40	NA	NA	AT1G14700
41	NA	NA	AT1G14740
42	NA	NA	AT1G15400
43	NA	NA	AT1G15670
44	NA	NA	AT1G15750
45	NA	NA	AT1G16730
46	NA	NA	AT1G17120
47	NA	NA	AT1G17210
48	NA	NA	AT1G19000
49	NA	NA	AT1G19110
50	NA	NA	AT1G19770
51	NA	NA	AT1G20330
52	NA	NA	AT1G21000
53	NA	NA	AT1G21010
54	NA	NA	AT1G21050
55	NA	NA	AT1G21060
56	NA	NA	AT1G21830
57	NA	NA	AT1G22190
58	NA	NA	AT1G22330
59	NA	NA	AT1G22640
60	NA	NA	AT1G23040
61	NA	NA	AT1G23050
62	NA	NA	AT1G23390
63	NA	NA	AT1G23710
64	NA	NA	AT1G23860
65	NA	NA	AT1G24170
66	NA	NA	AT1G25520
67	NA	NA	AT1G25550
68	NA	NA	AT1G25560
69	NA	NA	AT1G26930
70	NA	NA	AT1G27050
71	NA	NA	AT1G27290
72	NA	NA	AT1G29440
73	NA	NA	AT1G29510
74	NA	NA	AT1G30110
75	NA	NA	AT1G30570
76	NA	NA	AT1G30825
77	NA	NA	AT1G31350
78	NA	NA	AT1G32700
79	NA	NA	AT1G33240
80	NA	NA	AT1G33250
81	NA	NA	AT1G35510
82	NA	NA	AT1G35580
83	NA	NA	AT1G35670
84	NA	NA	AT1G37130
85	NA	NA	AT1G44446
86	NA	NA	AT1G45170
87	NA	NA	AT1G45688
88	NA	NA	AT1G47530
89	NA	NA	AT1G48260
90	NA	NA	AT1G48410
91	NA	NA	AT1G49200
92	NA	NA	AT1G49500
93	NA	NA	AT1G49730
94	NA	NA	AT1G50020
95	NA	NA	AT1G51950
96	NA	NA	AT1G53090
97	NA	NA	AT1G53560
98	NA	NA	AT1G54740
99	NA	NA	AT1G55810
100	NA	NA	AT1G56200
101	NA	NA	AT1G56590
102	NA	NA	AT1G57680
103	NA	NA	AT1G58100
104	NA	NA	AT1G60010
105	NA	NA	AT1G61100
106	NA	NA	AT1G61740
107	NA	NA	AT1G63420
108	NA	NA	AT1G63690
109	NA	NA	AT1G65590
110	NA	NA	AT1G65930
111	NA	NA	AT1G66150
112	NA	NA	AT1G66160
113	NA	NA	AT1G66180
114	NA	NA	AT1G67340
115	NA	NA	AT1G67590
116	NA	NA	AT1G68020
117	NA	NA	AT1G68140
118	NA	NA	AT1G68400
119	NA	NA	AT1G68440
120	NA	NA	AT1G68570
121	NA	NA	AT1G68670
122	NA	NA	AT1G68830
123	NA	NA	AT1G68840
124	NA	NA	AT1G69170
125	NA	NA	AT1G69270
126	NA	NA	AT1G69295
127	NA	NA	AT1G69570
128	NA	NA	AT1G69800
129	NA	NA	AT1G70090
130	NA	NA	AT1G70410
131	NA	NA	AT1G70480
132	NA	NA	AT1G70590
133	NA	NA	AT1G70710
134	NA	NA	AT1G70940
135	NA	NA	AT1G71040
136	NA	NA	AT1G71340
137	NA	NA	AT1G71960
138	NA	NA	AT1G71970
139	NA	NA	AT1G72360
140	NA	NA	AT1G72750
141	NA	NA	AT1G72820
142	NA	NA	AT1G73540
143	NA	NA	AT1G73670
144	NA	NA	AT1G73830
145	NA	NA	AT1G74670
