p.value	enrichment	genes
1	2.26624147534314e-09	2.13450041497759	AT1G02560
2	NA	NA	AT1G05710
3	NA	NA	AT1G08930
4	NA	NA	AT1G18400
5	NA	NA	AT1G22280
6	NA	NA	AT1G22530
7	NA	NA	AT1G23490
8	NA	NA	AT1G30640
9	NA	NA	AT1G32920
10	NA	NA	AT1G55120
11	NA	NA	AT1G61810
12	NA	NA	AT1G72420
13	NA	NA	AT1G75020
14	NA	NA	AT1G75800
15	NA	NA	AT1G78100
16	NA	NA	AT2G01420
17	NA	NA	AT2G18960
18	NA	NA	AT2G28950
19	NA	NA	AT2G30870
20	NA	NA	AT2G40100
21	NA	NA	AT2G40140
22	NA	NA	AT2G41100
23	NA	NA	AT2G41110
24	NA	NA	AT2G41430
25	NA	NA	AT2G42040
26	NA	NA	AT2G46580
27	NA	NA	AT3G07470
28	NA	NA	AT3G07580
29	NA	NA	AT3G10500
30	NA	NA	AT3G10985
31	NA	NA	AT3G12560
32	NA	NA	AT3G18290
33	NA	NA	AT3G22380
34	NA	NA	AT3G26690
35	NA	NA	AT3G27380
36	NA	NA	AT3G28340
37	NA	NA	AT3G28910
38	NA	NA	AT3G49530
39	NA	NA	AT3G50650
40	NA	NA	AT3G57330
41	NA	NA	AT3G58750
42	NA	NA	AT3G59350
43	NA	NA	AT4G00570
44	NA	NA	AT4G13340
45	NA	NA	AT4G16370
46	NA	NA	AT4G21850
47	NA	NA	AT4G30340
48	NA	NA	AT4G30440
49	NA	NA	AT4G30790
50	NA	NA	AT4G31390
51	NA	NA	AT4G31800
52	NA	NA	AT4G32160
53	NA	NA	AT4G33430
54	NA	NA	AT4G34040
55	NA	NA	AT4G36500
56	NA	NA	AT4G36920
57	NA	NA	AT4G36970
58	NA	NA	AT4G38520
59	NA	NA	AT5G02240
60	NA	NA	AT5G07580
61	NA	NA	AT5G13710
62	NA	NA	AT5G14710
63	NA	NA	AT5G18470
64	NA	NA	AT5G23210
65	NA	NA	AT5G43830
66	NA	NA	AT5G53450
67	NA	NA	AT5G55850
68	NA	NA	AT5G58900
69	NA	NA	AT5G62670
