p.value	enrichment	genes
1	6.54380694832197e-09	1.82964306258131	AT1G04690
2	NA	NA	AT1G09350
3	NA	NA	AT1G09530
4	NA	NA	AT1G10090
5	NA	NA	AT1G10410
6	NA	NA	AT1G12990
7	NA	NA	AT1G18150
8	NA	NA	AT1G20440
9	NA	NA	AT1G20696
10	NA	NA	AT1G21380
11	NA	NA	AT1G22770
12	NA	NA	AT1G26460
13	NA	NA	AT1G26800
14	NA	NA	AT1G48330
15	NA	NA	AT1G54830
16	NA	NA	AT1G56600
17	NA	NA	AT1G58200
18	NA	NA	AT1G67510
19	NA	NA	AT1G70420
20	NA	NA	AT1G76180
21	NA	NA	AT1G78600
22	NA	NA	AT2G03340
23	NA	NA	AT2G16365
24	NA	NA	AT2G18350
25	NA	NA	AT2G20515
26	NA	NA	AT2G20980
27	NA	NA	AT2G21660
28	NA	NA	AT2G22430
29	NA	NA	AT2G25440
30	NA	NA	AT2G30600
31	NA	NA	AT2G36310
32	NA	NA	AT2G36410
33	NA	NA	AT2G38465
34	NA	NA	AT2G39930
35	NA	NA	AT2G42790
36	NA	NA	AT2G44490
37	NA	NA	AT2G45590
38	NA	NA	AT2G46060
39	NA	NA	AT2G46170
40	NA	NA	AT2G46620
41	NA	NA	AT3G05220
42	NA	NA	AT3G05640
43	NA	NA	AT3G05880
44	NA	NA	AT3G06500
45	NA	NA	AT3G08760
46	NA	NA	AT3G09000
47	NA	NA	AT3G12930
48	NA	NA	AT3G17830
49	NA	NA	AT3G18080
50	NA	NA	AT3G19590
51	NA	NA	AT3G47160
52	NA	NA	AT3G47550
53	NA	NA	AT3G53990
54	NA	NA	AT3G57870
55	NA	NA	AT3G60380
56	NA	NA	AT3G60390
57	NA	NA	AT3G61820
58	NA	NA	AT3G62630
59	NA	NA	AT3G62700
60	NA	NA	AT4G01026
61	NA	NA	AT4G01690
62	NA	NA	AT4G04330
63	NA	NA	AT4G14230
64	NA	NA	AT4G25480
65	NA	NA	AT4G27820
66	NA	NA	AT4G31550
67	NA	NA	AT4G33980
68	NA	NA	AT4G34120
69	NA	NA	AT4G35790
70	NA	NA	AT4G36010
71	NA	NA	AT4G39090
72	NA	NA	AT5G08330
73	NA	NA	AT5G11740
74	NA	NA	AT5G14920
75	NA	NA	AT5G24470
76	NA	NA	AT5G24610
77	NA	NA	AT5G39570
78	NA	NA	AT5G40480
79	NA	NA	AT5G42900
80	NA	NA	AT5G47060
81	NA	NA	AT5G47100
82	NA	NA	AT5G48250
83	NA	NA	AT5G49760
84	NA	NA	AT5G51840
85	NA	NA	AT5G52310
86	NA	NA	AT5G55180
87	NA	NA	AT5G56630
88	NA	NA	AT5G58070
89	NA	NA	AT5G58600
90	NA	NA	AT5G61530
91	NA	NA	AT5G63810
92	NA	NA	AT5G64860
93	NA	NA	AT5G65310
94	NA	NA	AT5G66880
95	NA	NA	AT5G67560
