p.value	enrichment	genes
1	5.42785992906443e-07	1.47242868890783	AT1G02560
2	NA	NA	AT1G03470
3	NA	NA	AT1G04770
4	NA	NA	AT1G05570
5	NA	NA	AT1G05710
6	NA	NA	AT1G07000
7	NA	NA	AT1G07240
8	NA	NA	AT1G08930
9	NA	NA	AT1G14370
10	NA	NA	AT1G18210
11	NA	NA	AT1G18400
12	NA	NA	AT1G20840
13	NA	NA	AT1G21120
14	NA	NA	AT1G22180
15	NA	NA	AT1G22530
16	NA	NA	AT1G23020
17	NA	NA	AT1G23490
18	NA	NA	AT1G25275
19	NA	NA	AT1G25380
20	NA	NA	AT1G27730
21	NA	NA	AT1G30490
22	NA	NA	AT1G30640
23	NA	NA	AT1G32920
24	NA	NA	AT1G44100
25	NA	NA	AT1G51940
26	NA	NA	AT1G52760
27	NA	NA	AT1G55120
28	NA	NA	AT1G55850
29	NA	NA	AT1G61810
30	NA	NA	AT1G63460
31	NA	NA	AT1G67480
32	NA	NA	AT1G68300
33	NA	NA	AT1G72420
34	NA	NA	AT1G75020
35	NA	NA	AT1G75800
36	NA	NA	AT1G78100
37	NA	NA	AT1G78260
38	NA	NA	AT1G78970
39	NA	NA	AT2G01420
40	NA	NA	AT2G01450
41	NA	NA	AT2G05160
42	NA	NA	AT2G13360
43	NA	NA	AT2G15390
44	NA	NA	AT2G15830
45	NA	NA	AT2G18960
46	NA	NA	AT2G20900
47	NA	NA	AT2G20950
48	NA	NA	AT2G24600
49	NA	NA	AT2G26650
50	NA	NA	AT2G28950
51	NA	NA	AT2G29960
52	NA	NA	AT2G30870
53	NA	NA	AT2G33480
54	NA	NA	AT2G35880
55	NA	NA	AT2G37940
56	NA	NA	AT2G39360
57	NA	NA	AT2G39770
58	NA	NA	AT2G40140
59	NA	NA	AT2G41100
60	NA	NA	AT2G41110
61	NA	NA	AT2G41430
62	NA	NA	AT2G42040
63	NA	NA	AT2G46580
64	NA	NA	AT2G48030
65	NA	NA	AT3G01500
66	NA	NA	AT3G03890
67	NA	NA	AT3G04910
68	NA	NA	AT3G05120
69	NA	NA	AT3G06770
70	NA	NA	AT3G07470
71	NA	NA	AT3G07580
72	NA	NA	AT3G10500
73	NA	NA	AT3G10985
74	NA	NA	AT3G12560
75	NA	NA	AT3G17770
76	NA	NA	AT3G18290
77	NA	NA	AT3G22120
78	NA	NA	AT3G22380
79	NA	NA	AT3G23690
80	NA	NA	AT3G25500
81	NA	NA	AT3G25600
82	NA	NA	AT3G26690
83	NA	NA	AT3G27380
84	NA	NA	AT3G27420
85	NA	NA	AT3G27960
86	NA	NA	AT3G28910
87	NA	NA	AT3G47640
88	NA	NA	AT3G49530
89	NA	NA	AT3G50650
90	NA	NA	AT3G52430
91	NA	NA	AT3G54110
92	NA	NA	AT3G55390
93	NA	NA	AT3G57330
94	NA	NA	AT3G58750
95	NA	NA	AT4G00570
96	NA	NA	AT4G02540
97	NA	NA	AT4G13340
98	NA	NA	AT4G14980
99	NA	NA	AT4G16370
100	NA	NA	AT4G17490
101	NA	NA	AT4G17670
102	NA	NA	AT4G23470
103	NA	NA	AT4G27800
104	NA	NA	AT4G29900
105	NA	NA	AT4G30080
106	NA	NA	AT4G30190
107	NA	NA	AT4G30340
108	NA	NA	AT4G30350
109	NA	NA	AT4G30440
110	NA	NA	AT4G30790
111	NA	NA	AT4G31390
112	NA	NA	AT4G31800
113	NA	NA	AT4G32160
114	NA	NA	AT4G33050
115	NA	NA	AT4G33300
116	NA	NA	AT4G33430
117	NA	NA	AT4G36920
118	NA	NA	AT4G36970
119	NA	NA	AT4G38520
120	NA	NA	AT4G39080
121	NA	NA	AT5G02240
122	NA	NA	AT5G02480
123	NA	NA	AT5G04740
124	NA	NA	AT5G05250
125	NA	NA	AT5G07580
126	NA	NA	AT5G09800
127	NA	NA	AT5G13710
128	NA	NA	AT5G14710
129	NA	NA	AT5G15580
130	NA	NA	AT5G18470
131	NA	NA	AT5G23210
132	NA	NA	AT5G37740
133	NA	NA	AT5G43270
134	NA	NA	AT5G43830
135	NA	NA	AT5G47910
136	NA	NA	AT5G48180
137	NA	NA	AT5G49680
138	NA	NA	AT5G53450
139	NA	NA	AT5G55850
140	NA	NA	AT5G56170
141	NA	NA	AT5G58900
142	NA	NA	AT5G59020
143	NA	NA	AT5G59880
144	NA	NA	AT5G62670
145	NA	NA	AT5G64130
