p.value	enrichment	genes
1	5.93996717070293e-35	3.6618047046865	AT1G01060
2	NA	NA	AT1G01490
3	NA	NA	AT1G01550
4	NA	NA	AT1G01720
5	NA	NA	AT1G06410
6	NA	NA	AT1G06570
7	NA	NA	AT1G09070
8	NA	NA	AT1G11260
9	NA	NA	AT1G13080
10	NA	NA	AT1G13260
11	NA	NA	AT1G19110
12	NA	NA	AT1G19770
13	NA	NA	AT1G21050
14	NA	NA	AT1G22930
15	NA	NA	AT1G23050
16	NA	NA	AT1G23710
17	NA	NA	AT1G23870
18	NA	NA	AT1G25560
19	NA	NA	AT1G27050
20	NA	NA	AT1G30110
21	NA	NA	AT1G30570
22	NA	NA	AT1G32460
23	NA	NA	AT1G35510
24	NA	NA	AT1G36050
25	NA	NA	AT1G48260
26	NA	NA	AT1G49500
27	NA	NA	AT1G49730
28	NA	NA	AT1G56590
29	NA	NA	AT1G57680
30	NA	NA	AT1G58290
31	NA	NA	AT1G65590
32	NA	NA	AT1G66160
33	NA	NA	AT1G68440
34	NA	NA	AT1G69570
35	NA	NA	AT1G69800
36	NA	NA	AT1G72820
37	NA	NA	AT1G73670
38	NA	NA	AT1G74450
39	NA	NA	AT1G76600
40	NA	NA	AT1G79750
41	NA	NA	AT2G01140
42	NA	NA	AT2G01850
43	NA	NA	AT2G06850
44	NA	NA	AT2G18090
45	NA	NA	AT2G18300
46	NA	NA	AT2G18700
47	NA	NA	AT2G20670
48	NA	NA	AT2G21120
49	NA	NA	AT2G23460
50	NA	NA	AT2G23810
51	NA	NA	AT2G25735
52	NA	NA	AT2G27500
53	NA	NA	AT2G40000
54	NA	NA	AT2G40970
55	NA	NA	AT2G42870
56	NA	NA	AT2G43060
57	NA	NA	AT2G44920
58	NA	NA	AT2G45880
59	NA	NA	AT2G46830
60	NA	NA	AT2G47940
61	NA	NA	AT3G01560
62	NA	NA	AT3G02140
63	NA	NA	AT3G15450
64	NA	NA	AT3G16620
65	NA	NA	AT3G16800
66	NA	NA	AT3G16830
67	NA	NA	AT3G16850
68	NA	NA	AT3G23030
69	NA	NA	AT3G24550
70	NA	NA	AT3G26510
71	NA	NA	AT3G26810
72	NA	NA	AT3G45730
73	NA	NA	AT3G46600
74	NA	NA	AT3G47340
75	NA	NA	AT3G50740
76	NA	NA	AT3G52060
77	NA	NA	AT3G52450
78	NA	NA	AT3G54500
79	NA	NA	AT3G55430
80	NA	NA	AT3G55980
81	NA	NA	AT3G62720
82	NA	NA	AT3G62980
83	NA	NA	AT4G00710
84	NA	NA	AT4G11330
85	NA	NA	AT4G18710
86	NA	NA	AT4G19200
87	NA	NA	AT4G25700
88	NA	NA	AT4G28240
89	NA	NA	AT4G30210
90	NA	NA	AT4G32300
91	NA	NA	AT4G36860
92	NA	NA	AT4G38060
93	NA	NA	AT4G38470
94	NA	NA	AT5G05440
95	NA	NA	AT5G06980
96	NA	NA	AT5G10450
97	NA	NA	AT5G11090
98	NA	NA	AT5G16830
99	NA	NA	AT5G18630
100	NA	NA	AT5G24870
101	NA	NA	AT5G24890
102	NA	NA	AT5G24930
103	NA	NA	AT5G25280
104	NA	NA	AT5G27350
105	NA	NA	AT5G41080
106	NA	NA	AT5G48540
107	NA	NA	AT5G49480
108	NA	NA	AT5G51460
109	NA	NA	AT5G52570
110	NA	NA	AT5G54380
111	NA	NA	AT5G58430
112	NA	NA	AT5G58650
113	NA	NA	AT5G59150
114	NA	NA	AT5G61670
115	NA	NA	AT5G64410
