p.value	enrichment	genes
212	NA	NA	AT4G01720
213	NA	NA	AT4G04955
214	NA	NA	AT4G08950
215	NA	NA	AT4G12690
216	NA	NA	AT4G15550
217	NA	NA	AT4G17640
218	NA	NA	AT4G18710
219	NA	NA	AT4G19140
220	NA	NA	AT4G20300
221	NA	NA	AT4G25470
222	NA	NA	AT4G25620
223	NA	NA	AT4G27450
224	NA	NA	AT4G27657
225	NA	NA	AT4G27940
226	NA	NA	AT4G28240
227	NA	NA	AT4G28290
228	NA	NA	AT4G30200
229	NA	NA	AT4G30270
230	NA	NA	AT4G31080
231	NA	NA	AT4G32030
232	NA	NA	AT4G32300
233	NA	NA	AT4G34000
234	NA	NA	AT4G34150
235	NA	NA	AT4G34760
236	NA	NA	AT4G35090
237	NA	NA	AT4G35780
238	NA	NA	AT4G36730
239	NA	NA	AT4G37300
240	NA	NA	AT4G37460
241	NA	NA	AT4G38470
242	NA	NA	AT4G38840
243	NA	NA	AT4G39100
244	NA	NA	AT5G01240
245	NA	NA	AT5G01820
246	NA	NA	AT5G03140
247	NA	NA	AT5G04760
248	NA	NA	AT5G05140
249	NA	NA	AT5G05440
250	NA	NA	AT5G06980
251	NA	NA	AT5G09760
252	NA	NA	AT5G10450
253	NA	NA	AT5G12010
254	NA	NA	AT5G12230
255	NA	NA	AT5G12440
256	NA	NA	AT5G12840
257	NA	NA	AT5G13100
258	NA	NA	AT5G13760
259	NA	NA	AT5G13770
260	NA	NA	AT5G14740
261	NA	NA	AT5G15600
262	NA	NA	AT5G15860
263	NA	NA	AT5G16830
264	NA	NA	AT5G18630
265	NA	NA	AT5G18650
266	NA	NA	AT5G19120
267	NA	NA	AT5G19200
268	NA	NA	AT5G20110
269	NA	NA	AT5G22940
270	NA	NA	AT5G23460
271	NA	NA	AT5G23730
272	NA	NA	AT5G24870
273	NA	NA	AT5G24930
274	NA	NA	AT5G25190
275	NA	NA	AT5G25460
276	NA	NA	AT5G28770
277	NA	NA	AT5G40250
278	NA	NA	AT5G40890
279	NA	NA	AT5G41080
280	NA	NA	AT5G44020
281	NA	NA	AT5G46410
282	NA	NA	AT5G47180
283	NA	NA	AT5G47560
284	NA	NA	AT5G47620
285	NA	NA	AT5G49100
286	NA	NA	AT5G49170
287	NA	NA	AT5G49360
288	NA	NA	AT5G49720
289	NA	NA	AT5G51460
290	NA	NA	AT5G51550
291	NA	NA	AT5G51910
292	NA	NA	AT5G52070
293	NA	NA	AT5G52570
294	NA	NA	AT5G53160
295	NA	NA	AT5G54300
296	NA	NA	AT5G54510
297	NA	NA	AT5G56980
298	NA	NA	AT5G57100
299	NA	NA	AT5G57560
300	NA	NA	AT5G57660
301	NA	NA	AT5G58430
302	NA	NA	AT5G58650
303	NA	NA	AT5G59480
304	NA	NA	AT5G59730
305	NA	NA	AT5G59960
306	NA	NA	AT5G60680
307	NA	NA	AT5G60850
308	NA	NA	AT5G64840
309	NA	NA	AT5G65430
310	NA	NA	AT5G66730
311	NA	NA	AT5G67370
312	NA	NA	AT5G67420
